id,jp,zh,notes,kind
301#0,連。あ闘優,连。啊斗优,ram_1007_debug,text
301#1,ばか敗フォント,傻瓜败字体,ram_1007_debug,text
301#2,ばかフォント。,傻瓜字体。,ram_1007_debug,text
32#0,マイクテストちゅう,麦克风测试中,ram_1007_debug,text
32#1,・・・,……,ram_1007_debug,text
32#2,あ,啊,ram_1007_debug,text
32#3,い,咦,ram_1007_debug,text
alpha_maltis#0,マルティスおっ！,马蒂斯：哦！,ram_1007_debug,text
alpha_maltis#1,少ないユニットでキツそうじゃねぇか。,小队人数少，看起来挺呛啊。,ram_1007_debug,text
alpha_maltis#2,マルティスま、。は周回だしな！,马蒂斯：嘛，。是周目啊！,ram_1007_debug,text
alpha_maltis#3,帰の感動／なエピソードはすっ飛ばして,俺感动的那段情节就跳过,ram_1007_debug,text
alpha_maltis#4,お「たちの力になってやるぜ。,来给你们当力。,ram_1007_debug,text
alpha_maltis2#0,,,ram_1007_debug,empty
alpha_maltis2#1,半捕英雄・マルティスが長心になった。,半捕英雄·马蒂斯成为了同伴。,ram_1007_debug,text
field_debug_ear#0,デバックモードの終了,结束调试模式,ram_1007_debug,text
field_debug_ear#1,開始イベントをみる,看开始事件,ram_1007_debug,text
field_debug_ear#2,核ミサイルとばしちゃえ,把核导弹扔出去,ram_1007_debug,text
field_debug_ear#3,をセンメツする（クリア）,歼灭（通关）,ram_1007_debug,text
field_debug_gho02#0,デバックモードの終了,结束调试模式,ram_1007_debug,text
field_debug_gho02#1,出現イベントをみる,看出现事件,ram_1007_debug,text
field_debug_gho02#2,開始イベントをみる,看开始事件,ram_1007_debug,text
field_debug_gho02#3,をセンメツする（クリア）,歼灭（通关）,ram_1007_debug,text
field_debug_main_menu#0,セーブ,保存,ram_1007_debug,text
field_debug_main_menu#1,てっしゅ隊,铁拳队,ram_1007_debug,text
field_debug_mode,フィールドデバックモードやっちゅうねん,场地调试模式搞上了啊,ram_1007_debug,text
field_debug_mode2,デバックモード終了します,结束调试模式,ram_1007_debug,text
field_debug_mon01#0,デバックモードの終了,结束调试模式,ram_1007_debug,text
field_debug_mon01#1,開始イベントをみる,看开始事件,ram_1007_debug,text
field_debug_mon01#2,をセンメツする（クリア）,歼灭（通关）,ram_1007_debug,text
field_debug_mon03#0,デバックモードの終了,结束调试模式,ram_1007_debug,text
field_debug_mon03#1,開始イベントをみる,看开始事件,ram_1007_debug,text
field_debug_mon03#2,ブラッキーホカクイベントをみる,看布莱基捕获事件,ram_1007_debug,text
field_debug_mon03#3,をセンメツする（クリア）,歼灭（通关）,ram_1007_debug,text
field_debug_mon04#0,デバックモードの終了,结束调试模式,ram_1007_debug,text
field_debug_mon04#1,開始イベントをみる,看开始事件,ram_1007_debug,text
field_debug_mon04#2,いイバライベントをみる,看去伊巴拉事件,ram_1007_debug,text
field_debug_mon04#3,打いイバライベントをみる,看打伊巴拉事件,ram_1007_debug,text
field_debug_mon04#4,をセンメツする（クリア）,歼灭（通关）,ram_1007_debug,text
field_debug_sun01#0,デバックモードの終了,结束调试模式,ram_1007_debug,text
field_debug_sun01#1,開始イベントをみる,看开始事件,ram_1007_debug,text
field_debug_sun01#2,】かいのをつづけてみる,接着看】界的,ram_1007_debug,text
field_debug_sun01#3,をセンメツする（クリア）,歼灭（通关）,ram_1007_debug,text
field_debug_thu01#0,デバックモードの終了,结束调试模式,ram_1007_debug,text
field_debug_thu01#1,開始イベントをみる,看开始事件,ram_1007_debug,text
field_debug_thu01#2,全番にON、O教教しちゃう,全员ON、O铁拳掉,ram_1007_debug,text
field_debug_thu01#3,い、熟の道イベントをみる,看去、森之道事件,ram_1007_debug,text
field_debug_thu01#4,打い、熟の道イベントをみる,看打、森之道事件,ram_1007_debug,text
field_debug_thu01#5,をセンメツする（クリア）,歼灭（通关）,ram_1007_debug,text
field_debug_thu02#0,デバックモードの終了,结束调试模式,ram_1007_debug,text
field_debug_thu02#1,い開始イベントをみる,看去开始事件,ram_1007_debug,text
field_debug_thu02#2,打い開始イベントをみる,看打开始事件,ram_1007_debug,text
field_debug_thu02#3,いクモイベントをみる,看去蜘蛛事件,ram_1007_debug,text
