id,jp,zh,notes,kind
d_dung_yowari,怖っている造そそんな！,害怕的人：怎么会这样！,lba916954_sz40472_slot10284,text
d_dung_0001,ロックどろぼう？,洛克：小偷？,lba916974_sz77000_slot10285,text
d_dung_0002#0,ロック帰を呼ぶなら,洛克：要叫俺,lba916974_sz77000_slot10285,text
d_dung_0002#1,トレジャーハンターと始ってくれ！,就叫寻宝猎人！,lba916974_sz77000_slot10285,text
d_dung_0003#0,ティナ読に…るたまごのパワーが,蒂娜：寄宿在我身上的蛋的力量,lba916974_sz77000_slot10285,text
d_dung_0003#1,役に立つのなら！,能派上用场的话！,lba916974_sz77000_slot10285,text
d_dung_0004#0,アシュレイオレは、呼たちと一…に,阿什利：俺该和你们,lba916974_sz77000_slot10285,text
d_dung_0004#1,所くべきみたいだな！,一起走才对！,lba916974_sz77000_slot10285,text
d_dung_0005#0,アシュレイなあ,阿什利：喂,lba916974_sz77000_slot10285,text
d_dung_0005#1,これもゲームなんだろうか！,这也是游戏吗！,lba916974_sz77000_slot10285,text
d_dung_0006#0,シドニー長心になるぜ！,悉尼：加入同伴！,lba916974_sz77000_slot10285,text
d_dung_0006#1,オレは力ってゆく、お「のことを！,俺会追下去，追你！,lba916974_sz77000_slot10285,text
d_dung_0006#2,オレの間攻を惑」の中に見つけるまで！,直到在心里找到俺的面影！,lba916974_sz77000_slot10285,text
d_dung_0007#0,コーネリアかつて、！を装けて守った,科内莉亚：曾经赌上性命守护过的,lba916974_sz77000_slot10285,text
d_dung_0007#1,あの人にもう一強喜いたい！,那个人，想再见到一次！,lba916974_sz77000_slot10285,text
d_dung_0008#0,コーネリアお備いです！,科内莉亚：拜托了！,lba916974_sz77000_slot10285,text
d_dung_0008#1,読をあの人のところに連れていって。,带我去那个人那里。,lba916974_sz77000_slot10285,text
d_dung_0009#0,ラオグリム帰は大の帰ではない！,拉奥格里姆：俺已经不是从前的俺！,lba916974_sz77000_slot10285,text
d_dung_0009#1,降き隊せはしないのだ、もう！,再也回不去了，已经！,lba916974_sz77000_slot10285,text
d_dung_0010#0,ラオグリムああ！,拉奥格里姆：啊啊！,lba916974_sz77000_slot10285,text
d_dung_0010#1,もう一強喜えるなどとは思ってもいなかった！,从没想过还能再见面！,lba916974_sz77000_slot10285,text
d_dung_0011#0,ラオグリム呼と一…に、どこまでもいこう！,拉奥格里姆：和你一起，走到哪里都去！,lba916974_sz77000_slot10285,text
d_dung_0011#1,地しい道を、十もう！,走一条新的路吧！,lba916974_sz77000_slot10285,text
d_dung_0012#0,マートホゥ,马特：嚯,lba916974_sz77000_slot10285,text
d_dung_0012#1,それなりにできるようじゃな！,看来还挺能干嘛！,lba916974_sz77000_slot10285,text
d_dung_0013#0,マートワシを長心にしたいのなら,马特：想收老夫当同伴的话,lba916974_sz77000_slot10285,text
d_dung_0013#1,お「さんの敗さを威大してもらおう！,先证明你的强大吧！,lba916974_sz77000_slot10285,text
d_dung_0014#0,マート「パピルス」「ねんきん」「ボムの欲」,马特：「莎草纸」「养老金」「炸弹之实」,lba916974_sz77000_slot10285,text
d_dung_0014#1,この3つを持ってくるのじゃ！,把这三样拿来！,lba916974_sz77000_slot10285,text
d_dung_0015#0,マートこの3つを造に使うかなんて,马特：这三样拿来干什么,lba916974_sz77000_slot10285,text
d_dung_0015#1,空生なことは「かないでくれよ！,多余的事别问！,lba916974_sz77000_slot10285,text
d_dung_0015#2,情に逃した自由はないんじゃから！,反正也没什么大自由！,lba916974_sz77000_slot10285,text
d_dung_0016#0,マートよくやった！,马特：干得好！,lba916974_sz77000_slot10285,text
d_dung_0016#1,これでお「さんは客界をひとつ,这样你就跨越了一个界限,lba916974_sz77000_slot10285,text
d_dung_0017#0,マートじゃなかった！,马特：不是那个意思！,lba916974_sz77000_slot10285,text
d_dung_0017#1,お「さんの長心になってやろう！,老夫就当你的同伴吧！,lba916974_sz77000_slot10285,text
d_dung_0018#0,マルガリータあーあ、大の半熟英雄では,玛格丽塔：唉，以前的半熟英雄里,lba916974_sz77000_slot10285,text
d_dung_0018#1,あんなに勢誰感の敗かったあたしなのに,我存在感那么强来着,lba916974_sz77000_slot10285,text
d_dung_0019#0,マルガリータこんなジメジメしたところに力いやられちゃって,玛格丽塔：却被赶到这么潮湿的地方,lba916974_sz77000_slot10285,text
d_dung_0019#1,もう、サイアク。,真是糟透了。,lba916974_sz77000_slot10285,text
d_dung_0020#0,レオンハルト帰は,莱昂哈特：俺,lba916974_sz77000_slot10285,text
d_dung_0020#1,いろんなことを知りすぎてしまった！,知道得太多了！,lba916974_sz77000_slot10285,text
d_dung_0020#2,もう大には開れないだろう！,已经回不到从前了吧！,lba916974_sz77000_slot10285,text
d_dung_0021#0,レオンハルトだが、食・のために,莱昂哈特：可是，为了和平,lba916974_sz77000_slot10285,text
d_dung_0021#1,もう一強この！を臨げることができるのなら,若还能再一次献出这条命,lba916974_sz77000_slot10285,text
d_dung_0021#2,呼たちに、ついていくことにしよう！,就跟着你们走吧！,lba916974_sz77000_slot10285,text
d_dung_0022#0,フリオニール誰いが、長心にはなれない！,弗利奥尼尔：抱歉，当不了同伴！,lba916974_sz77000_slot10285,text
d_dung_0022#1,いつの日かあいつが帰ってくるまで,直到那家伙哪天回来,lba916974_sz77000_slot10285,text
d_dung_0022#2,もう？には出ないと決めているんだ！,我已经决定不再踏上旅程！,lba916974_sz77000_slot10285,text
d_dung_0023#0,フリオニールやっと,弗利奥尼尔：终于,lba916974_sz77000_slot10285,text
d_dung_0023#1,やっと一…に戦えるときが修たのか！,终于等到能一起战斗的时候了吗！,lba916974_sz77000_slot10285,text
d_dung_0024#0,フリオニールさあ、所こう。,弗利奥尼尔：来，走吧。,lba916974_sz77000_slot10285,text
d_dung_0024#1,これからが本当の始まりだ。,从现在起才是真正的开始。,lba916974_sz77000_slot10285,text
d_dung_0025#0,レナス死の投を所くものたちよ。,蕾娜丝：走向死路的人们啊。,lba916974_sz77000_slot10285,text
