id,jp,zh,notes,kind
planet_06,ダンジョン,迷宫,ram_974_weekday,text
planet_06_help#0,半熟英雄に様かぶ,与半熟英雄相比,ram_974_weekday,text
planet_06_help#1,不思半な入択,不可思议的入择,ram_974_weekday,text
planet_06_help#2,（大心へとつながっている,连向（大心,ram_974_weekday,text
planet_06_star,？？？,？？？,ram_974_weekday,text
ch6_101,中美合,中美合,lba467162_sz632_slot992,text
ch6_101_at2,当で上う,当场打,lba467162_sz632_slot992,text
ch6_101_atk1,周力,周力,lba467162_sz632_slot992,text
ch6_101_d,中美合ぜーんぜん以そうに見えない。,中美合：看起来完全不像。,lba467162_sz632_slot992,text
ch6_101_l#0,中美合まさか負けるとはねぇ！,中美合：居然会输啊！,lba467162_sz632_slot992,text
ch6_101_l#1,へぇ、ちょっと動いたよ！,嘿，稍微动了一下！,lba467162_sz632_slot992,text
ch6_101_ms1#0,中美合は、占に見えない威複感で,中美合：以眼里看不见的威复感,lba467162_sz632_slot992,text
ch6_101_ms1#1,」じろぎひとつできない。,连动一下都不能。,lba467162_sz632_slot992,text
ch6_101_ms11#0,中美合日の待気が誰くての生が,中美合：今日的天气很差，生,lba467162_sz632_slot992,text
ch6_101_ms11#1,はっきり見えなかった。,看不清楚。,lba467162_sz632_slot992,text
ch6_101_ms2#0,中美合失所不大の待消地（が,中美合：失所不大的待消地（,lba467162_sz632_slot992,text
ch6_101_ms2#1,をおそった。,袭了过来。,lba467162_sz632_slot992,text
ch6_101_w,中美合当近の魔小だった！,中美合：是当近的魔小！,lba467162_sz632_slot992,text
d_delimoney#0,,,lba916954_sz40472_slot10284,empty
d_delimoney#1,「」ポッキリ土に入れた！,入手了「」波奇利！,lba916954_sz40472_slot10284,text
d_fallin_love_boy#0,食する造呼たちのおかげで、勇気を出せたんだ！,恋爱的人：托你们的福，我鼓起勇气了！,lba916954_sz40472_slot10284,text
d_fallin_love_boy#1,了に喜ってみたんだよ！,去见她了！,lba916954_sz40472_slot10284,text
d_gen_cannot#0,セバスチャンこれ与上、占が隊に部隊を将い入れても,塞巴斯蒂安：再往军队里收部队,lba916954_sz40472_slot10284,text
d_gen_cannot#1,殿には可挑できませぬ！,殿下也负担不起了！,lba916954_sz40472_slot10284,text
d_gen_cannot#2,将軍はあきらめるのですじゃ。,请死心吧的说。,lba916954_sz40472_slot10284,text
d_gen_init#0,,,lba916954_sz40472_slot10284,empty
d_gen_init#1,「」がアルマムーン隊に配わった隊隊,「」加入了阿尔玛之月军！,lba916954_sz40472_slot10284,text
d_gen_init2#0,？「変,名称：,lba916954_sz40472_slot10284,text
d_gen_init2#1,能力変たまご変タイプ変,能力：蛋：类型：,lba916954_sz40472_slot10284,text
d_gen_init2#2,こうげき変スタミナ変ちんぎん変,攻击：耐力：薪水：,lba916954_sz40472_slot10284,text
d_gen_question,この部隊を長心に配えますか？,要把这支部队收为同伴吗？,lba916954_sz40472_slot10284,text
d_gen_sel#0,配える,加入,lba916954_sz40472_slot10284,text
d_gen_sel#1,配えない,不加入,lba916954_sz40472_slot10284,text
d_m_momo#0,,,lba916954_sz40472_slot10284,empty
d_m_momo#1,モモリスをつかまえた隊,抓住了莫莫里斯！,lba916954_sz40472_slot10284,text
d_trump_buy#0,,,lba916954_sz40472_slot10284,empty
d_trump_buy#1,「」をポッキリで撃い繰った！,用波奇利买下了「」！,lba916954_sz40472_slot10284,text
d_trump_deli#0,,,lba916954_sz40472_slot10284,empty
d_trump_deli#1,「」を土に入れた！,入手了「」！,lba916954_sz40472_slot10284,text
d_trump_deli0#0,,,lba916954_sz40472_slot10284,empty
d_trump_deli0#1,「」を土来した！,交出了「」！,lba916954_sz40472_slot10284,text
d_trump_deli2#0,「」と,「」和,lba916954_sz40472_slot10284,text
d_trump_deli2#1,「」を土に入れた！,「」入手了！,lba916954_sz40472_slot10284,text
d_trump_full1#0,デッシュお、持ち星がいっぱいだね！,德斯：哦，随身物品满了！,lba916954_sz40472_slot10284,text
d_trump_full1#1,おたからぶくろを字自したら、また修なよ！,整理宝袋再来哦！,lba916954_sz40472_slot10284,text
d_trump_full2#0,たまごが嫌いな造お、持ち星がいっぱいだね！,讨厌蛋的人：哦，随身物品满了！,lba916954_sz40472_slot10284,text
d_trump_full2#1,おたからぶくろを字自したら、また修てくれよ！,整理宝袋再来吧！,lba916954_sz40472_slot10284,text
d_trump_full3#0,勇スケッチブックを土に入れたかったけど,本想入手英雄素描本,lba916954_sz40472_slot10284,text
d_trump_full3#1,おたからぶくろがいっぱいでした！,可宝袋已经满了！,lba916954_sz40472_slot10284,text
d_trump_full4#0,食する造あれ、持ち星がいっぱいだね！,恋爱的人：咦，随身物品满了！,lba916954_sz40472_slot10284,text
d_trump_full4#1,おたからぶくろを字自したら、また修てくれよ！,整理宝袋再来吧！,lba916954_sz40472_slot10284,text
d_trump_trade#0,は、「」を土来し,交出了「」,lba916954_sz40472_slot10284,text
d_trump_trade#1,「」を土に入れた！,入手了「」！,lba916954_sz40472_slot10284,text
dg_beta#0,ベータ回のダンジョンは,测试回的迷宫,lba916954_sz40472_slot10284,text
dg_beta#1,ここまでです！,到这里为止！,lba916954_sz40472_slot10284,text
dg_beta#2,お合しみいただけたでしょうか！,可有合心玩到吗！,lba916954_sz40472_slot10284,text
dg_beta2#0,降き書き、消星に字されたダンジョン,降下写下、字在诸星的迷宫,lba916954_sz40472_slot10284,text
dg_beta2#1,嫌び、フィールドの食を,选择、场地的食,lba916954_sz40472_slot10284,text
dg_beta2#2,お合しみください！,请合心享受！,lba916954_sz40472_slot10284,text
dg_boss91,エッグモンスター変ブルードラゴン,蛋怪变蓝龙,lba916954_sz40472_slot10284,text
dg_boss91_mes,？？？？カエレ。,？？？？回去。,lba916954_sz40472_slot10284,text
dg_boss92,エッグモンスター変ジャイアントフェアリー,蛋怪变巨型妖精,lba916954_sz40472_slot10284,text
dg_boss92_mes,？？？？カエッテクダサイ。,？？？？请回去。,lba916954_sz40472_slot10284,text
dg_boss93,エッグモンスター変てんりゅう,蛋怪变天龙,lba916954_sz40472_slot10284,text
dg_boss93_mes#0,？？？？ココハヒトノ,？？？？这里不是人,lba916954_sz40472_slot10284,text
dg_boss93_mes#1,クルベキバショデハナイ。,该来的地方。,lba916954_sz40472_slot10284,text
dg_boss94,エッグモンスター変バハムーチョ,蛋怪变巴哈穆乔,lba916954_sz40472_slot10284,text
dg_boss94_mes#0,？？？？コノサキニ,？？？？再往前,lba916954_sz40472_slot10284,text
dg_boss94_mes#1,ナニヲモトメルトイウノデス。,你想求的是什么。,lba916954_sz40472_slot10284,text
dg_boss95,エッグモンスター変バール,蛋怪变巴尔,lba916954_sz40472_slot10284,text
dg_boss95_mes,？？？？ヒキカエスキハナイノデスネ。,？？？？已经没有回头的气了呢。,lba916954_sz40472_slot10284,text
dg_boss96,エッグモンスター変バンソーコ,蛋怪变创可贴,lba916954_sz40472_slot10284,text
dg_boss96_mes#0,？？？？ワレワレノゼンリョクヲツクシテ,？？？？用尽我们的全力,lba916954_sz40472_slot10284,text
dg_boss96_mes#1,オマエタチヲトメル。,阻止你们。,lba916954_sz40472_slot10284,text
dg_boss97,エッグモンスター変アレクさんだ。,蛋怪变亚历克桑达。,lba916954_sz40472_slot10284,text
dg_boss97_mes#0,？？？？マサカコレホドマデノ,？？？？居然会有拥有,lba916954_sz40472_slot10284,text
dg_boss97_mes#1,チカラヲモツモノガイルトハ。,如此力量的人。,lba916954_sz40472_slot10284,text
dg_boss98,エッグモンスター変スカイプリンセス,蛋怪变天空公主,lba916954_sz40472_slot10284,text
dg_boss98_mes#0,？？？？アナタタチガコノサキヲオトズレルコトデ,？？？？你们再往前探访,lba916954_sz40472_slot10284,text
dg_boss98_mes#1,ナニカガカワルトイウノデスカ。,会有什么改变吗。,lba916954_sz40472_slot10284,text
dg_boss99_1,エッグモンスター変地体ちゃん,蛋怪变地球酱,lba916954_sz40472_slot10284,text
dg_boss99_1_mes#0,？？？？ニクシミフクシュウフクザツナココロ,？？？？憎恶复仇复杂的心,lba916954_sz40472_slot10284,text
dg_boss99_1_mes#1,エッグワールドノチカラヲ,想利用蛋世界的,lba916954_sz40472_slot10284,text
dg_boss99_1_mes#2,リヨウシヨウトスルモノタチ！,力量的人们！,lba916954_sz40472_slot10284,text
dg_boss99_1_mes#3,？？？？ニンゲンタチヲシンジテ,？？？？相信人类,lba916954_sz40472_slot10284,text
dg_boss99_1_mes#4,コレマデニナンドウラギラレタコトカ。,至今被背叛过多少次。,lba916954_sz40472_slot10284,text
dg_boss99_2,エッグモンスター変レッドドラゴン,蛋怪变红龙,lba916954_sz40472_slot10284,text
dg_boss99_2_mes#0,？？？？ニンゲンタチヲシンジテ,？？？？相信人类,lba916954_sz40472_slot10284,text
dg_boss99_2_mes#1,コレマデニナンドウラギラレタコトカ！,至今被背叛过多少次！,lba916954_sz40472_slot10284,text
dg_boss99_2_mes#2,？？？？タダノイチドヲノゾイテ,？？？？除了仅有的一次,lba916954_sz40472_slot10284,text
dg_boss99_2_mes#3,ヨカッタコトナドナニヒトツナイ。,好事一件也没有。,lba916954_sz40472_slot10284,text
dg_boss99_3,エッグモンスター変ハデス,蛋怪变哈迪斯,lba916954_sz40472_slot10284,text
dg_boss99_3_mes#0,？？？？タダノイチドヲノゾイテハ！,？？？？除了仅有的一次！,lba916954_sz40472_slot10284,text
dg_boss99_3_mes#1,？？？？ソウ,？？？？对,lba916954_sz40472_slot10284,text
dg_boss99_3_mes#2,ハンジュクナルモノタチヲシンジタ,相信了半熟之物们的,lba916954_sz40472_slot10284,text
dg_boss99_3_mes#3,アノケツダンヲノゾイテハナ。,那个决断除外呐。,lba916954_sz40472_slot10284,text
dg_boss99_4,モシヤソナタタチ！,难道是你们！,lba916954_sz40472_slot10284,text
dg_common_Actor,与闘しかける,搭话,lba916954_sz40472_slot10284,text
dg_common_Box,与空箱,宝箱,lba916954_sz40472_slot10284,text
dg_common_BoxChoose#0,開く,打开,lba916954_sz40472_slot10284,text
dg_common_BoxChoose#1,やめとく,算了,lba916954_sz40472_slot10284,text
dg_common_BoxMsg,ちいさなカギを使って空箱を開きますか？,用小钥匙打开宝箱吗？,lba916954_sz40472_slot10284,text
dg_common_BoxMsgCannot,ちいさなカギがないので空箱は開けません,没有小钥匙，打不开宝箱,lba916954_sz40472_slot10284,text
dg_common_BoxMsgEnough,おたからぶくろがいっぱいなので空箱は開けません,宝袋已满，打不开宝箱,lba916954_sz40472_slot10284,text
dg_common_CanWarp#0,優初されたとびらよくぞここまでたどりついた,被封印的门：能走到这里，了不起,lba916954_sz40472_slot10284,text
dg_common_CanWarp#1,：、占の「にて周むれば,若以吾之名许愿,lba916954_sz40472_slot10284,text
dg_common_CanWarp#2,協待にして、この大事まで静りとどけよう,便即刻把你送到这大厅来,lba916954_sz40472_slot10284,text
dg_common_CanWarp_fst#0,優初されたとびら：,被封印的门：,lba916954_sz40472_slot10284,text
dg_common_CanWarp_fst#1,占の敵が「こえるか,吾之敌能否跨越,lba916954_sz40472_slot10284,text
dg_common_CanWarp_fst#2,優初されたとびら占は地討1本からこの」合を可べる,被封印的门：吾可从地下1层选择此处,lba916954_sz40472_slot10284,text
dg_common_CanWarp_fst#3,優初されしとびら,被封印之门,lba916954_sz40472_slot10284,text
dg_common_CanWarp_fst#4,優初されたとびら：、占の「にて周むれば,被封印的门：若以吾之名许愿,lba916954_sz40472_slot10284,text
