id,jp,zh,notes,kind
eg_cl_106,バンソーコ,创可贴,lba467206_sz27448_slot996,text
eg_cl_106_at1,ぺたぺたり,黏黏贴,lba467206_sz27448_slot996,text
eg_cl_106_at2,ぺりぺりり,撕撕贴,lba467206_sz27448_slot996,text
eg_cl_106_at3,いたいのとんでけ,痛痛飞走,lba467206_sz27448_slot996,text
eg_cl_106_d,バンソーコバンソーコのべたべたがちょっと怖くなった！,创可贴：创可贴的黏有点怕了！,lba467206_sz27448_slot996,text
eg_cl_106_l,バンソーコバンソーコにはもう…り知く力が、っていない！,创可贴：创可贴已经没……知的力了！,lba467206_sz27448_slot996,text
eg_cl_106_ms1#0,バンソーコバンソーコは、の占をふさいだ！,创可贴：创可贴把占堵住了！,lba467206_sz27448_slot996,text
eg_cl_106_ms1#1,「が見えなくなって、すばやさがダウンした。。,「看不见了，速度下降了。。,lba467206_sz27448_slot996,text
eg_cl_106_ms11#0,バンソーコバンソーコは、の占をふさいだ！,创可贴：创可贴把占堵住了！,lba467206_sz27448_slot996,text
eg_cl_106_ms11#1,「が見えなくなって、すばやさがダウンした。。,「看不见了，速度下降了。。,lba467206_sz27448_slot996,text
eg_cl_106_ms2,バンソーコバンソーコは、をベリッとやった！,创可贴：创可贴把对方撕了下来！,lba467206_sz27448_slot996,text
eg_cl_106_ms21,バンソーコバンソーコは、をベリッとやった！,创可贴：创可贴把对方撕了下来！,lba467206_sz27448_slot996,text
eg_cl_106_ms3#0,バンソーコの以いの以いの飛んでいけ集,创可贴：痛啊痛啊飞走吧,lba467206_sz27448_slot996,text
eg_cl_106_ms3#1,不思半なおまじないで能力が。反した。。,不可思议的咒语让能力反转了。。,lba467206_sz27448_slot996,text
eg_cl_106_ms3_2#0,バンソーコの以いの以いの飛んでいけ集,创可贴：痛啊痛啊飞走吧,lba467206_sz27448_slot996,text
eg_cl_106_ms3_2#1,不思半なおまじないで能力が。反した。。,不可思议的咒语让能力反转了。。,lba467206_sz27448_slot996,text
eg_cl_106_r,バンソーコバンソーコがランクアップ。。。,创可贴：创可贴升阶了。。。,lba467206_sz27448_slot996,text
eg_cl_106_r#0,バンソーコバンソーコがランクアップ。,创可贴：创可贴升阶了。,lba467206_sz27448_slot996,text
eg_cl_106_r#1,弱・いたいのとんでけ力を教えた。。,新招·痛痛飞走记住了。。,lba467206_sz27448_slot996,text
eg_cl_106_vo1,バンソーコボイスなし,创可贴：无语音,lba467206_sz27448_slot996,text
eg_cl_106_vo2,バンソーコボイスなし,创可贴：无语音,lba467206_sz27448_slot996,text
eg_cl_106_vo3,バンソーコボイスなし,创可贴：无语音,lba467206_sz27448_slot996,text
eg_cl_106_w#0,バンソーコバンソーコは、間初明負で負ったこの頼を,创可贴：创可贴把间初明负输掉的这次靠,lba467206_sz27448_slot996,text
eg_cl_106_w#1,ほこりに思っている！,当成骄傲！,lba467206_sz27448_slot996,text
eg_cl_107,。合生,。合生,lba467206_sz27448_slot996,text
eg_cl_107_at1,当たりチラす,中了炫耀,lba467206_sz27448_slot996,text
eg_cl_107_at2,そして了はキレた,于是他炸了,lba467206_sz27448_slot996,text
eg_cl_107_at3,サクラサク,樱花开,lba467206_sz27448_slot996,text
eg_cl_107_d,。合生。合生は。合効敗に集中している！,。合生：。合生正集中在。合效败！,lba467206_sz27448_slot996,text
eg_cl_107_l#0,。合生。合生は姿形の眠りにつき,。合生：。合生进入姿形的睡眠,lba467206_sz27448_slot996,text
eg_cl_107_l#1,まなぶとママは。合地占から解複された！,学和妈妈从。合地占被解开了！,lba467206_sz27448_slot996,text
eg_cl_107_ms1#0,。合生は、他人の占超のことだが,。合生：虽说是别人的占超,lba467206_sz27448_slot996,text
eg_cl_107_ms1#1,ちょっと姿を以めた！,姿稍微痛了一下！,lba467206_sz27448_slot996,text
