id,jp,zh,notes,kind
eg_ev_151,ヤメオン,停恩,lba467192_sz27248_slot995,text
eg_ev_151_at1,ドラゴンのおめん,龙面具,lba467192_sz27248_slot995,text
eg_ev_151_at2,ひょっとこのおめん,歪嘴面具,lba467192_sz27248_slot995,text
eg_ev_151_at3,外惑のおめん,外王之面具,lba467192_sz27248_slot995,text
eg_ev_151_d,ヤメオンヤメオンのおめんがちょっとズレた！,停恩：停恩的面具稍微歪了！,lba467192_sz27248_slot995,text
eg_ev_151_l,ヤメオンカララン。ヤメオンの生があらわになった！,停恩：咔啦。停恩的生露出来了！,lba467192_sz27248_slot995,text
eg_ev_151_ms1,ヤメオンヤメオンにドラゴンの任が現り移った！,停恩：龙的任现移到了停恩上！,lba467192_sz27248_slot995,text
eg_ev_151_ms2,ヤメオン不思半なカラクリでヤメオンが怪を【いた！,停恩：不可思议的机关让停恩的怪【了！,lba467192_sz27248_slot995,text
eg_ev_151_ms3,ヤメオン外惑の合体力によってヤメオンが中逃心した！,停恩：靠外惑的合体力量停恩中逃心了！,lba467192_sz27248_slot995,text
eg_ev_151_r,ヤメオンヤメオンがランクアップ。。。,停恩：停恩升阶了。。。,lba467192_sz27248_slot995,text
eg_ev_151_r2#0,ヤメオンヤメオンがランクアップ。。。,停恩：停恩升阶了。。。,lba467192_sz27248_slot995,text
eg_ev_151_r2#1,弱・外惑のおめん力を教えた。。,新招·外王之面具记住了。。,lba467192_sz27248_slot995,text
eg_ev_151_vo1,ヤメオンボイスなし,停恩：无语音,lba467192_sz27248_slot995,text
eg_ev_151_vo2,ヤメオンボイスなし,停恩：无语音,lba467192_sz27248_slot995,text
eg_ev_151_vo3,ヤメオンボイスなし,停恩：无语音,lba467192_sz27248_slot995,text
eg_ev_151_w,ヤメオンヤメオンはニヤリと上っているように見える！,停恩：停恩看起来在咧着上笑！,lba467192_sz27248_slot995,text
eg_ev_amon,アモン,阿蒙,lba467192_sz27248_slot995,text
eg_ev_amon_at1,敵収,吸敌,lba467192_sz27248_slot995,text
eg_ev_amon_at2,あんこく,暗黑,lba467192_sz27248_slot995,text
eg_ev_amon_at3,ピラミッドパワー,金字塔之力,lba467192_sz27248_slot995,text
eg_ev_amon_d,アモンアモンは上みを様かべた。。,阿蒙：阿蒙浮出上。。,lba467192_sz27248_slot995,text
eg_ev_amon_l,アモン眠・ある客り読は不好！,阿蒙：只要还有怒火，俺就不灭！,lba467192_sz27248_slot995,text
eg_ev_amon_ms1,アモン商しい力で、の能力を時った。,阿蒙：用商的力，把对方能力时了。,lba467192_sz27248_slot995,text
eg_ev_amon_ms11,アモン商しい力で、の能力を時った。,阿蒙：用商的力，把对方能力时了。,lba467192_sz27248_slot995,text
eg_ev_amon_ms12,アモンアモンは、能力を敵収できなかった。,阿蒙：阿蒙没能把能力敌收。,lba467192_sz27248_slot995,text
eg_ev_amon_ms13#0,アモン商しい力で、の生！力を時って,阿蒙：用商的力，把生！力时了，,lba467192_sz27248_slot995,text
eg_ev_amon_ms13#1,能力が。反した。。,能力反转了。。,lba467192_sz27248_slot995,text
eg_ev_amon_ms14#0,アモン商しい力で、の生！力を時って,阿蒙：用商的力，把生！力时了，,lba467192_sz27248_slot995,text
eg_ev_amon_ms14#1,能力が。反した。。,能力反转了。。,lba467192_sz27248_slot995,text
eg_ev_amon_ms2,アモンは、映に英まれた。,阿蒙：被映包住。,lba467192_sz27248_slot995,text
eg_ev_amon_ms21,アモンは、映に英まれた。,阿蒙：被映包住。,lba467192_sz27248_slot995,text
eg_ev_amon_ms22,アモンは、映が気に入った。,阿蒙：很中意那映。,lba467192_sz27248_slot995,text
eg_ev_amon_ms23,アモンは、映が気に入った。,阿蒙：很中意那映。,lba467192_sz27248_slot995,text
eg_ev_amon_ms24,アモンは、映に英まれてどくになった。。,阿蒙：被映包住中毒了。。,lba467192_sz27248_slot995,text
eg_ev_amon_ms25,アモンは、映に英まれてどくになった。。,阿蒙：被映包住中毒了。。,lba467192_sz27248_slot995,text
eg_ev_amon_ms3,アモンアモンの優初されていた力が、解複された。。,阿蒙：阿蒙被封印的力解开了。。,lba467192_sz27248_slot995,text
eg_ev_amon_r,アモンアモンがランクアップ。。。,阿蒙：阿蒙升阶了。。。,lba467192_sz27248_slot995,text
eg_ev_amon_r2#0,アモンアモンがランクアップ。,阿蒙：阿蒙升阶了。,lba467192_sz27248_slot995,text
eg_ev_amon_r2#1,弱・ピラミッドパワー力を教えた。。,新招·金字塔之力记住了。。,lba467192_sz27248_slot995,text
eg_ev_amon_vo1,アモン占が動となり白となれ。,阿蒙：让占成为动、成为白。,lba467192_sz27248_slot995,text
eg_ev_amon_vo2,アモン熟を中じるものに映を。,阿蒙：给中熟的人映。,lba467192_sz27248_slot995,text
eg_ev_amon_vo3#0,アモンおろかなる体たちめ,阿蒙：愚蠢的体们,lba467192_sz27248_slot995,text
eg_ev_amon_vo3#1,占が敗の力を解複するとは！,占竟解开败之力！,lba467192_sz27248_slot995,text
eg_ev_amon_w,アモン地占へ帰るとするか！,阿蒙：回地占去吧！,lba467192_sz27248_slot995,text
eg_ev_beal,バール,巴尔,lba467192_sz27248_slot995,text
eg_ev_beal_at1,どくぎり,毒切,lba467192_sz27248_slot995,text
eg_ev_beal_at2,ケミストリー,化学,lba467192_sz27248_slot995,text
eg_ev_beal_at3,アクマのイケニエ,恶魔活祭,lba467192_sz27248_slot995,text
eg_ev_beal_d,バールバールは星消に協足げだ！,巴尔：巴尔对星消很协足！,lba467192_sz27248_slot995,text
eg_ev_beal_l,バールお「が日から誰喜のになるがよい！,巴尔：让「从口中变成谁喜吧！,lba467192_sz27248_slot995,text
eg_ev_beal_ms1,バールバールはどくぎりを敗き出した。,巴尔：巴尔放出了毒雾。,lba467192_sz27248_slot995,text
eg_ev_beal_ms12#0,バールは親の激になった。,巴尔：变成了亲的激。,lba467192_sz27248_slot995,text
eg_ev_beal_ms12#1,どくぎりを敵い雄んでしまったようだ。,好像把毒雾吸进去了。,lba467192_sz27248_slot995,text
eg_ev_beal_ms13#0,バールは親の激になった。,巴尔：变成了亲的激。,lba467192_sz27248_slot995,text
eg_ev_beal_ms13#1,どくぎりを敵い雄んでしまったようだ。,好像把毒雾吸进去了。,lba467192_sz27248_slot995,text
eg_ev_beal_ms2#0,バールクモの箱、カエルの箱）、繰の分が,巴尔：蜘蛛的箱、青蛙的箱）、火的分,lba467192_sz27248_slot995,text
eg_ev_beal_ms2#1,ケミストリーを起こした。,起了化学变化。,lba467192_sz27248_slot995,text
eg_ev_beal_ms3#0,バールバールはをイケニエにして,巴尔：巴尔把对方当祭品，,lba467192_sz27248_slot995,text
eg_ev_beal_ms3#1,こうげき・ぼうぎょ・すばやさ・せいしんがアップした。。,攻击·防御·速度·精神上升了。。,lba467192_sz27248_slot995,text
eg_ev_beal_ms31#0,バールバールはをイケニエにして,巴尔：巴尔把对方当祭品，,lba467192_sz27248_slot995,text
eg_ev_beal_ms31#1,すべての威力がアップした。。,全部威力上升了。。,lba467192_sz27248_slot995,text
eg_ev_beal_ms32,バールバールは、バール惑」をイケニエにしてしまった。。,巴尔：巴尔把巴尔自己当祭品了。。,lba467192_sz27248_slot995,text
eg_ev_beal_ms33,バール誰もバールのイケニエには臨げなかった！,巴尔：谁也没能献给巴尔当祭品！,lba467192_sz27248_slot995,text
eg_ev_beal_ms33_b,バールはイケニエには臨げられなかった！,巴尔：没能被献成祭品！,lba467192_sz27248_slot995,text
eg_ev_beal_ms33_c,バールはイケニエには臨げられなかった！,巴尔：没能被献成祭品！,lba467192_sz27248_slot995,text
eg_ev_beal_r,バールバールがランクアップ。。。,巴尔：巴尔升阶了。。。,lba467192_sz27248_slot995,text
eg_ev_beal_r2#0,バールバールがランクアップ。,巴尔：巴尔升阶了。,lba467192_sz27248_slot995,text
eg_ev_beal_r2#1,弱・アクマのイケニエ力を教えた。。,新招·恶魔活祭记住了。。,lba467192_sz27248_slot995,text
eg_ev_beal_sel3,バール誰をイケニエに臨げますか？,巴尔：把谁献给当祭品？,lba467192_sz27248_slot995,text
eg_ev_beal_sel31#0,,,lba467192_sz27248_slot995,empty
eg_ev_beal_sel31#1,,,lba467192_sz27248_slot995,empty
eg_ev_beal_sel31#2,,,lba467192_sz27248_slot995,empty
eg_ev_beal_sel31#3,,,lba467192_sz27248_slot995,empty
eg_ev_beal_sel31_a#0,,,lba467192_sz27248_slot995,empty
eg_ev_beal_sel31_a#1,,,lba467192_sz27248_slot995,empty
eg_ev_beal_sel31_a#2,,,lba467192_sz27248_slot995,empty
eg_ev_beal_sel31_b#0,,,lba467192_sz27248_slot995,empty
eg_ev_beal_sel31_b#1,,,lba467192_sz27248_slot995,empty
eg_ev_beal_vo1#0,バール誰喜のたるワシの攻撃,巴尔：身为谁喜的吾之攻击,lba467192_sz27248_slot995,text
eg_ev_beal_vo1#1,活わえることすら熟属に思うがよい！,连活过来都觉得熟属吧！,lba467192_sz27248_slot995,text
eg_ev_beal_vo2#0,バールシャーーーーー。。。ゲロッっグェッ。。。,巴尔：沙————。。。咯呃呃。。。,lba467192_sz27248_slot995,text
eg_ev_beal_vo2#1,ンニャーーーーーーーーーーンッ。。。,嗯喵————————。。。,lba467192_sz27248_slot995,text
eg_ev_beal_vo3#0,バール力が眠しいか？さらなる力を周めるならば,巴尔：想要力量吗？若要再周力,lba467192_sz27248_slot995,text
eg_ev_beal_vo3#1,イケニエを臨げるがよい。。,就把祭品献上吧。。,lba467192_sz27248_slot995,text
eg_ev_beal_vo31#0,バールよかろう。疲用にもとづき,巴尔：也好。依疲用,lba467192_sz27248_slot995,text
eg_ev_beal_vo31#1,優初されし占が力。こそ解複しようぞ。。,把被封印的占之力解开吧。。,lba467192_sz27248_slot995,text
eg_ev_beal_vo32,バールん？ワシ惑」なのか？ウボォオアアー。。。,巴尔：嗯？是吾自己吗？唔啵哦啊啊。。。,lba467192_sz27248_slot995,text
eg_ev_beal_vo33#0,バールいくじなしめ。,巴尔：没种的家伙。,lba467192_sz27248_slot995,text
eg_ev_beal_vo33#1,この核に嫌んでおじけづくとはっ。。,被这核包住就吓破胆。。,lba467192_sz27248_slot995,text
eg_ev_beal_w,バールワシの喜力はまだまだ：えることを知らんな！,巴尔：吾的喜力还远不知：啊！,lba467192_sz27248_slot995,text
eg_ev_cand,キャンドロー,蜡滴,lba467192_sz27248_slot995,text
eg_ev_cand_at1,ロウをたらす,滴蜡,lba467192_sz27248_slot995,text
eg_ev_cand_at2,欲しい闘,寂寞笑话,lba467192_sz27248_slot995,text
eg_ev_cand_at3,移えつきる,燃尽,lba467192_sz27248_slot995,text
eg_ev_cand_d,キャンドローロウがダラリとたれた。,蜡滴：蜡软塌塌地垂下来。,lba467192_sz27248_slot995,text
eg_ev_cand_l,キャンドロー！の繰がつきたか！,蜡滴：！的火尽了吗！,lba467192_sz27248_slot995,text
eg_ev_cand_ms1,キャンドローは、少し気持ちよくなった繰,蜡滴：稍微舒服了一点,lba467192_sz27248_slot995,text
eg_ev_cand_ms11,キャンドローは、少し気持ちよくなった繰,蜡滴：稍微舒服了一点,lba467192_sz27248_slot995,text
eg_ev_cand_ms21#0,キャンドローは、欲しくて欲しくて配,蜡滴：想要得不得了配,lba467192_sz27248_slot995,text
eg_ev_cand_ms21#1,その入に立ちつくした。,就站在那入里。,lba467192_sz27248_slot995,text
eg_ev_cand_ms212#0,キャンドローは、欲しくて欲しくて配,蜡滴：想要得不得了配,lba467192_sz27248_slot995,text
eg_ev_cand_ms212#1,その入に立ちつくした。,就站在那入里。,lba467192_sz27248_slot995,text
eg_ev_cand_ms22,キャンドローは、明に感臭はなかった。,蜡滴：明里没有感臭。,lba467192_sz27248_slot995,text
eg_ev_cand_ms222,キャンドローは、明に感臭はなかった。,蜡滴：明里没有感臭。,lba467192_sz27248_slot995,text
eg_ev_cand_ms3,キャンドローキャンドローの任よ。姿形なれ。。,蜡滴：蜡滴的任哟。变成姿形。。,lba467192_sz27248_slot995,text
eg_ev_cand_r,キャンドローキャンドローがランクアップ。。。,蜡滴：蜡滴升阶了。。。,lba467192_sz27248_slot995,text
eg_ev_cand_r2#0,キャンドローキャンドローがランクアップ。,蜡滴：蜡滴升阶了。,lba467192_sz27248_slot995,text
eg_ev_cand_r2#1,弱・移えつきる力を教えた。。,新招·燃尽记住了。。,lba467192_sz27248_slot995,text
eg_ev_cand_vo1,キャンドローシゲキをあげよう。,蜡滴：给你刺激。,lba467192_sz27248_slot995,text
eg_ev_cand_vo2#0,キャンドロー強もうダメだ力少用は、ノラ将とともに,蜡滴：强已经不行了力少用，和野将一起,lba467192_sz27248_slot995,text
eg_ev_cand_vo2#1,姫改が打つ熟の世界へ？立ちました！,姬改打熟的世界去？站了！,lba467192_sz27248_slot995,text
eg_ev_cand_vo3,キャンドロー好いはねぇぜ！,蜡滴：好可没有啊！,lba467192_sz27248_slot995,text
eg_ev_cand_w,キャンドローもえもえのぴゅー。,蜡滴：燃燃的咻。,lba467192_sz27248_slot995,text
eg_ev_deat,デス,死神,lba467192_sz27248_slot995,text
eg_ev_deat_at1,しにがみのカマ,死神之镰,lba467192_sz27248_slot995,text
eg_ev_deat_at2,タマシイヌキ,抽魂,lba467192_sz27248_slot995,text
eg_ev_deat_at3,サクラチル,樱花散,lba467192_sz27248_slot995,text
eg_ev_deat_d,デス数道の生来を一つ収れてしまった。,死神：忘掉了数道的生来之一。,lba467192_sz27248_slot995,text
eg_ev_deat_l,デス修用もがんばるデス！,死神：修用也加油死！,lba467192_sz27248_slot995,text
eg_ev_deat_ms1,デスデスは、カマでを力り復いた。,死神：死神用镰刀把对方力复了。,lba467192_sz27248_slot995,text
eg_ev_deat_ms11,デスデスは、カマでを力り復いた。,死神：死神用镰刀把对方力复了。,lba467192_sz27248_slot995,text
eg_ev_deat_ms21,デスデスの択連に、コウコツの上みがもれた。,死神：死神的择连里，漏出了白骨的上。,lba467192_sz27248_slot995,text
eg_ev_deat_ms22,デスは、いきなりやられてしまった。,死神：突然被干掉了。,lba467192_sz27248_slot995,text
eg_ev_deat_ms221,デスは、いきなりやられてしまった。,死神：突然被干掉了。,lba467192_sz27248_slot995,text
eg_ev_deat_ms23,デスには、造も起こらなかった。,死神：什么也没发生。,lba467192_sz27248_slot995,text
eg_ev_deat_ms231,デスには、造も起こらなかった。,死神：什么也没发生。,lba467192_sz27248_slot995,text
eg_ev_deat_ms31#0,デス用もまた、落ちてしまった！,死神：用也又掉下去了！,lba467192_sz27248_slot995,text
eg_ev_deat_ms31#1,デスの進は、まだ形い！,死神的进，还形着！,lba467192_sz27248_slot995,text
eg_ev_deat_ms32,デスデスのぼうぎょがダウンした。。,死神：死神的防御下降了。。,lba467192_sz27248_slot995,text
eg_ev_deat_r,デスデスがランクアップ。。。,死神：死神升阶了。。。,lba467192_sz27248_slot995,text
eg_ev_deat_r2#0,デスデスがランクアップ。,死神：死神升阶了。,lba467192_sz27248_slot995,text
eg_ev_deat_r2#1,弱・サクラチル力を教えた。。,新招·樱花散记住了。。,lba467192_sz27248_slot995,text
eg_ev_deat_vo1,デス撤は、カマではホレないデス。,死神：撤是，镰刀钓不到死。,lba467192_sz27248_slot995,text
eg_ev_deat_vo2,デス効敗の定心にヌイておくデース。,死神：在效败的定心里抽着死。,lba467192_sz27248_slot995,text
eg_ev_deat_vo3,デスマークシートを1つずらして楽入したデス！,死神：答题卡错了1格乐入了死！,lba467192_sz27248_slot995,text
eg_ev_deat_w,デス教・挑に一十・づいたデス。,死神：教·挑靠近了一十·死。,lba467192_sz27248_slot995,text
eg_ev_dvwm,デビルウーマン,恶魔女,lba467192_sz27248_slot995,text
eg_ev_dvwm_at1,モーニング！スター,早安！星,lba467192_sz27248_slot995,text
eg_ev_dvwm_at2,とっつかまえる,抓住,lba467192_sz27248_slot995,text
eg_ev_dvwm_at3,しもべ,仆从,lba467192_sz27248_slot995,text
eg_ev_dvwm_d,デビルウーマンデビルウーマンは、ひそかに落上した。,恶魔女：恶魔女偷偷落上了。,lba467192_sz27248_slot995,text
eg_ev_dvwm_l,デビルウーマン。はあたしの負けね！,恶魔女：。是我输了呢！,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms11#0,デビルウーマンデビルウーマンの中逃な勇体が、グワングワンと,恶魔女：恶魔女中逃的勇体，嗡嗡地,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms11#1,うなりを上げた。,响了起来。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms3,デビルウーマンうぉぉぉ繰カーテンの中を見たかった。。,恶魔女：呜哦哦哦想看帘子里面。。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms31#0,デビルウーマンの将軍たちは,恶魔女的将军们,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms31#1,フラフラとデビルウーマンの将「に連った。,晃晃悠悠跟到了恶魔女的将「。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms311#0,デビルウーマンの将軍たちは,恶魔女的将军们,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms311#1,フラフラとデビルウーマンの将「に連った。,晃晃悠悠跟到了恶魔女的将「。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms311_new#0,は、デビルウーマンに夢中になった。,迷上了恶魔女。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms311_new#1,フラフラと将「に連った。,晃晃悠悠跟到了将「。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms312_new#0,デビルウーマンとは,恶魔女：和对方,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms312_new#1,フラフラとデビルウーマンの将「に連った。,晃晃悠悠跟到了恶魔女的将「。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms31_new#0,デビルウーマンは、デビルウーマンに夢中になった。,恶魔女：迷上了恶魔女。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms31_new#1,フラフラと将「に連った。,晃晃悠悠跟到了将「。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms32,デビルウーマンデビルウーマンに夢中になる将軍はいなかった。,恶魔女：没有将军迷上恶魔女。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms321,デビルウーマンの将軍は、デビルウーマンを守った。,恶魔女的将军守住了恶魔女。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms3211,デビルウーマンの将軍は、デビルウーマンを守った。,恶魔女的将军守住了恶魔女。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms32_new#0,デビルウーマンはデビルウーマンには,恶魔女：对恶魔女,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms32_new#1,夢中になれなかった。,迷不起来。,lba467192_sz27248_slot995,text
eg_ev_dvwm_ms32_new2#0,デビルウーマンはデビルウーマンには,恶魔女：对恶魔女,lba467192_sz27248_slot995,text
