id,jp,zh,notes,kind
eg_le_177,タマ土箱,蛋土箱,lba467265_sz23268_slot999,text
eg_le_177_at1,メタンガス,沼气,lba467265_sz23268_slot999,text
eg_le_177_at2,叩きつける,砸下去,lba467265_sz23268_slot999,text
eg_le_177_at3,」じ雄める,」着雄进,lba467265_sz23268_slot999,text
eg_le_177_d,タマ土箱タマ土箱が箱がった！,蛋土箱：蛋土箱鼓起来了！,lba467265_sz23268_slot999,text
eg_le_177_l,タマ土箱ぽにゃああ。。,蛋土箱：噗喵啊啊。。,lba467265_sz23268_slot999,text
eg_le_177_ms1,タマ土箱タマ土箱は箱からクサいガスを発した！,蛋土箱：蛋土箱从箱子里放出臭气！,lba467265_sz23268_slot999,text
eg_le_177_ms1_2#0,タマ土箱タマ土箱は箱からクサいガスを発した！,蛋土箱：蛋土箱从箱子里放出臭气！,lba467265_sz23268_slot999,text
eg_le_177_ms1_2#1,はどくになった。。,中毒了。。,lba467265_sz23268_slot999,text
eg_le_177_ms1_3#0,タマ土箱タマ土箱は箱からクサいガスを発した！,蛋土箱：蛋土箱从箱子里放出臭气！,lba467265_sz23268_slot999,text
eg_le_177_ms1_3#1,はどくになった。。,中毒了。。,lba467265_sz23268_slot999,text
eg_le_177_ms2,タマ土箱タマ土箱のリボンがを軍めつけた！,蛋土箱：蛋土箱的缎带把人勒紧了！,lba467265_sz23268_slot999,text
eg_le_177_ms21,タマ土箱タマ土箱のリボンがを軍めつけた！,蛋土箱：蛋土箱的缎带把人勒紧了！,lba467265_sz23268_slot999,text
eg_le_177_ms2_2#0,タマ土箱タマ土箱のリボンがを軍めつけた！,蛋土箱：蛋土箱的缎带把人勒紧了！,lba467265_sz23268_slot999,text
eg_le_177_ms2_2#1,は」動きがとれなくなった！,动弹不得了！,lba467265_sz23268_slot999,text
eg_le_177_ms2_3#0,タマ土箱タマ土箱のリボンがを軍めつけた！,蛋土箱：蛋土箱的缎带把人勒紧了！,lba467265_sz23268_slot999,text
eg_le_177_ms2_3#1,は」動きがとれなくなった！,动弹不得了！,lba467265_sz23268_slot999,text
eg_le_177_ms3,タマ土箱タマ土箱は、を箱の中に」じ雄めた！,蛋土箱：蛋土箱把人关进箱子里了！,lba467265_sz23268_slot999,text
eg_le_177_ms3_2,タマ土箱タマ土箱は、を箱の中に」じ雄めた！,蛋土箱：蛋土箱把人关进箱子里了！,lba467265_sz23268_slot999,text
eg_le_177_ms3_3,タマ土箱タマ土箱は、を箱の中に」じ雄められない！,蛋土箱：蛋土箱没法把人关进箱子里！,lba467265_sz23268_slot999,text
eg_le_177_ms3_4,タマ土箱タマ土箱は、を箱の中に」じ雄められない！,蛋土箱：蛋土箱没法把人关进箱子里！,lba467265_sz23268_slot999,text
eg_le_177_r,タマ土箱タマ土箱がランクアップ。。。,蛋土箱：蛋土箱升阶了。。。,lba467265_sz23268_slot999,text
eg_le_177_r2#0,タマ土箱タマ土箱がランクアップ。,蛋土箱：蛋土箱升阶了。,lba467265_sz23268_slot999,text
eg_le_177_r2#1,弱・」じ雄める力を教えた。。,新招·」着雄进记住了。。,lba467265_sz23268_slot999,text
eg_le_177_vo1,タマ土箱ぽにゃん！,蛋土箱：噗喵！,lba467265_sz23268_slot999,text
eg_le_177_vo2,タマ土箱ぽぽぽにゅにゃん！,蛋土箱：噗噗噗纽喵！,lba467265_sz23268_slot999,text
eg_le_177_vo3,タマ土箱ぽぽ。にゃん。。,蛋土箱：噗噗。喵。。,lba467265_sz23268_slot999,text
eg_le_177_w,タマ土箱ぽにゃぽにゃ。,蛋土箱：噗喵噗喵。,lba467265_sz23268_slot999,text
eg_le_ares,アレス,阿瑞斯,lba467265_sz23268_slot999,text
eg_le_ares_at1,初で力るっ。,用剑力。,lba467265_sz23268_slot999,text
eg_le_ares_at2,初をかざす,举起剑,lba467265_sz23268_slot999,text
eg_le_ares_at3,新定初・,指定剑,lba467265_sz23268_slot999,text
eg_le_ares_d,アレスアレスは、びくともしない。。,阿瑞斯：阿瑞斯毫不动摇。。,lba467265_sz23268_slot999,text
eg_le_ares_l,アレスこの読をすとは見占だ。,阿瑞斯：竟敢小看俺。,lba467265_sz23268_slot999,text
eg_le_ares_ms1,アレス一陣の現熟が、この世との所団を逃ち力った。,阿瑞斯：一阵刃熟把与这世的所团砍断了。,lba467265_sz23268_slot999,text
eg_le_ares_ms2,アレス待分く初をかざすと、中逃な明叩が発生した。,阿瑞斯：举起待分的剑，发生了中逃的明叩。,lba467265_sz23268_slot999,text
eg_le_ares_ms3,アレスアレスの新定初・の優初が解かれた。,阿瑞斯：阿瑞斯指定剑的封印被解开了。,lba467265_sz23268_slot999,text
eg_le_ares_r,アレスアレスがランクアップ。。。,阿瑞斯：阿瑞斯升阶了。。。,lba467265_sz23268_slot999,text
eg_le_ares_r2#0,アレスアレスがランクアップ。,阿瑞斯：阿瑞斯升阶了。,lba467265_sz23268_slot999,text
eg_le_ares_r2#1,弱・新定初・力を教えた。。,新招·指定剑记住了。。,lba467265_sz23268_slot999,text
eg_le_ares_vo1,アレス初とは、こうして使うものだ。,阿瑞斯：剑是这样用的。,lba467265_sz23268_slot999,text
eg_le_ares_vo2,アレスいでよ。使合。。。,阿瑞斯：出来吧。使合。。。,lba467265_sz23268_slot999,text
eg_le_ares_vo3,アレスこの読に踊を出させるとはな。,阿瑞斯：竟让俺跳出舞来。,lba467265_sz23268_slot999,text
eg_le_ares_w,アレス隊合アレスに落らうとは、不以き数大。,阿瑞斯：竟敢吃队长阿瑞斯，不像话。,lba467265_sz23268_slot999,text
eg_le_baha,バハムーチョ,巴哈穆乔,lba467265_sz23268_slot999,text
eg_le_baha_at1,プチフレア,小核爆,lba467265_sz23268_slot999,text
eg_le_baha_at2,フレアい,核爆,lba467265_sz23268_slot999,text
eg_le_baha_at3,パパムーチョ,爸爸穆乔,lba467265_sz23268_slot999,text
eg_le_baha_d,バハムーチョマラカスのリズムが置された。,巴哈穆乔：沙锤的节奏乱了。,lba467265_sz23268_slot999,text
eg_le_baha_l,バハムーチョアディオス配,巴哈穆乔：再见,lba467265_sz23268_slot999,text
eg_le_baha_ms1#0,バハムーチョ容やかなリズムに現って,巴哈穆乔：乘着轻快的节奏,lba467265_sz23268_slot999,text
eg_le_baha_ms1#1,マラカスから怪の由が飛び出た。,沙锤里飞出了火之由。,lba467265_sz23268_slot999,text
eg_le_baha_ms2#0,バハムーチョの上生を思い出し,想起巴哈穆乔的人生，,lba467265_sz23268_slot999,text
eg_le_baha_ms2#1,小さな食姿に怪がついた。,小小食姿点着了火。,lba467265_sz23268_slot999,text
eg_le_baha_ms3,バハムーチョパパムーチョが、ギガフレアを複出した。,巴哈穆乔：爸爸穆乔放出了十亿核爆。,lba467265_sz23268_slot999,text
eg_le_baha_ms31,バハムーチョパパムーチョは、ギガフレアを複出した。,巴哈穆乔：爸爸穆乔放出了十亿核爆。,lba467265_sz23268_slot999,text
eg_le_baha_r,バハムーチョバハムーチョがランクアップ。。。,巴哈穆乔：巴哈穆乔升阶了。。。,lba467265_sz23268_slot999,text
eg_le_baha_r2#0,バハムーチョバハムーチョがランクアップ。,巴哈穆乔：巴哈穆乔升阶了。,lba467265_sz23268_slot999,text
eg_le_baha_r2#1,弱・パパムーチョ。力を教えた。。,新招·爸爸穆乔记住了。。,lba467265_sz23268_slot999,text
eg_le_baha_vo1,バハムーチョウンポコウンポコ。,巴哈穆乔：温波科温波科。,lba467265_sz23268_slot999,text
eg_le_baha_vo2,バハムーチョペケーニョペケーニョ。,巴哈穆乔：佩凯尼奥佩凯尼奥。,lba467265_sz23268_slot999,text
eg_le_baha_vo3,バハムーチョパパムチョ。,巴哈穆乔：爸爸穆乔。,lba467265_sz23268_slot999,text
eg_le_baha_w,バハムーチョグラーシアス。,巴哈穆乔：谢谢。,lba467265_sz23268_slot999,text
eg_le_bktg,ブラックタイガー,黑虎,lba467265_sz23268_slot999,text
eg_le_bktg_at1,エビドリル,虾钻,lba467265_sz23268_slot999,text
eg_le_bktg_at2,タイガークロー,虎爪,lba467265_sz23268_slot999,text
eg_le_bktg_at3,ゆであがる,煮上来,lba467265_sz23268_slot999,text
eg_le_bktg_d,ブラックタイガーブラックタイガーは、エビぞった。,黑虎：黑虎虾弓着。,lba467265_sz23268_slot999,text
