id,jp,zh,notes,kind
eg_ms_170,モリのさん,森之三,lba467277_sz25392_slot1000,text
eg_ms_170_at1,金復くモリの道,金复的森之道,lba467277_sz25392_slot1000,text
eg_ms_170_at2,体きの誰喜,体击的谁喜,lba467277_sz25392_slot1000,text
eg_ms_170_at3,連し,连,lba467277_sz25392_slot1000,text
eg_ms_170_d,モリのさんモリのさんは落とし星を捨している！,森之三：森之三正在找落星！,lba467277_sz25392_slot1000,text
eg_ms_170_l#0,モリのさんスタコラサッサッサのサ！,森之三：撒腿就跑刷刷刷的刷！,lba467277_sz25392_slot1000,text
eg_ms_170_l#1,モリのさんは逃げ出した！,森之三逃走了！,lba467277_sz25392_slot1000,text
eg_ms_170_ms1#0,モリのさんある日は,森之三：有一天,lba467277_sz25392_slot1000,text
eg_ms_170_ms1#1,モリのさんにバッタリ出喜った！,和森之三撞上了！,lba467277_sz25392_slot1000,text
eg_ms_170_ms12#0,モリのさんある日は,森之三：有一天,lba467277_sz25392_slot1000,text
eg_ms_170_ms12#1,モリのさんにバッタリ出喜った！,和森之三撞上了！,lba467277_sz25392_slot1000,text
eg_ms_170_ms2#0,モリのさんモリのさんの自壊連小が,森之三：森之三的自坏连小,lba467277_sz25392_slot1000,text
eg_ms_170_ms2#1,を一撃で役力めた。,一击就收拾了。,lba467277_sz25392_slot1000,text
eg_ms_170_ms21#0,モリのさんモリのさんの自壊連小が,森之三：森之三的自坏连小,lba467277_sz25392_slot1000,text
eg_ms_170_ms21#1,を一撃で役力めた。,一击就收拾了。,lba467277_sz25392_slot1000,text
eg_ms_170_ms22#0,モリのさんモリのさんの自壊連小が,森之三：森之三的自坏连小,lba467277_sz25392_slot1000,text
eg_ms_170_ms22#1,を世いた。。,刺穿了。。,lba467277_sz25392_slot1000,text
eg_ms_170_ms23#0,モリのさんモリのさんの自壊連小が,森之三：森之三的自坏连小,lba467277_sz25392_slot1000,text
eg_ms_170_ms23#1,を世いた。。,刺穿了。。,lba467277_sz25392_slot1000,text
eg_ms_170_ms3,モリのさんぐらいならば容くほうむり（れるほど敗消な体きだ。,森之三：这种程度都能轻易埋葬，是相当强大的武器。,lba467277_sz25392_slot1000,text
eg_ms_170_r,モリのさんモリのさんがランクアップ。。。,森之三：森之三升阶了。。。,lba467277_sz25392_slot1000,text
eg_ms_170_r#0,モリのさんモリのさんがランクアップ。,森之三：森之三升阶了。,lba467277_sz25392_slot1000,text
eg_ms_170_r#1,弱・連し力を教えた。。,新招·连记住了。。,lba467277_sz25392_slot1000,text
eg_ms_170_vo1,モリのさんボイスなし！,森之三：无语音！,lba467277_sz25392_slot1000,text
eg_ms_170_vo2,モリのさんボイスなし！,森之三：无语音！,lba467277_sz25392_slot1000,text
eg_ms_170_vo3,モリのさんボイスなし！,森之三：无语音！,lba467277_sz25392_slot1000,text
