id,jp,zh,notes,kind
eg_su_dvwm_ms21,デビルウーマンは、なんだかクラクラした！,恶魔女觉得有点晕乎乎！,lba467192_sz27248_slot995,text
eg_su_dvwm_ms211,デビルウーマンは、なんだかクラクラした！,恶魔女觉得有点晕乎乎！,lba467192_sz27248_slot995,text
eg_su_dvwm_ms22#0,デビルウーマンは、なんだかクラクラして,恶魔女觉得有点晕乎乎，,lba467192_sz27248_slot995,text
eg_su_dvwm_ms22#1,動けなくなった。,不能动了。,lba467192_sz27248_slot995,text
eg_su_dvwm_ms221#0,デビルウーマンは、なんだかクラクラして,恶魔女觉得有点晕乎乎，,lba467192_sz27248_slot995,text
eg_su_dvwm_ms221#1,動けなくなった。,不能动了。,lba467192_sz27248_slot995,text
eg_su_dvwm_ms33,デビルウーマンは、メロメロになった！,恶魔女神魂颠倒了！,lba467192_sz27248_slot995,text
eg_su_dvwm_ms34,デビルウーマンは、メロメロになった！,恶魔女神魂颠倒了！,lba467192_sz27248_slot995,text
eg_cu_runa_at1,うさピノダンス,兔皮诺舞,lba467462_sz19052_slot1011,text
eg_cu_runa_at2,しんげつ,新月,lba467462_sz19052_slot1011,text
eg_cu_runa_at3,アフロ13,阿弗罗13,lba467462_sz19052_slot1011,text
eg_cu_runa_d1#0,ルナティックお壊ルナティックお壊は,鲁奈：狂乱损坏,lba467462_sz19052_slot1011,text
eg_cu_runa_d1#1,以がっているのか集しがっているのかわからない！,是怒着还是高兴着，搞不清！,lba467462_sz19052_slot1011,text
eg_cu_runa_d2,ルナティックお壊ルナティックお壊がしくしくめそめそしている！,鲁奈：狂乱损坏在抽抽搭搭地哭！,lba467462_sz19052_slot1011,text
eg_cu_runa_d3,ルナティックお壊ルナティックお壊がにやにやへらへらしている！,鲁奈：狂乱损坏在嘿嘿傻笑！,lba467462_sz19052_slot1011,text
eg_cu_runa_l#0,ルナティックお壊やられるの【くない始ってた友超おいしいものいっぱい,鲁奈：被干掉不疼，说了有很多好吃的朋友,lba467462_sz19052_slot1011,text
eg_cu_runa_l#1,あるの教えた投いってる感べとく、し星しない！,教了投着先吃着，不要死星！,lba467462_sz19052_slot1011,text
eg_cu_runa_ms1#0,ルナティックお壊ちょっとアレな、ルナティックお壊ちゃんの解わりに,鲁奈：有点那个的，替狂乱损坏酱，,lba467462_sz19052_slot1011,text
eg_cu_runa_ms1#1,友超のうさピノが攻撃してあげた。,朋友兔皮诺攻击了。,lba467462_sz19052_slot1011,text
eg_cu_runa_ms21,ルナティックお壊ルナティックお壊は、惑分の姿をかくしてしまった。,鲁奈：狂乱损坏把自己的姿藏起来了。,lba467462_sz19052_slot1011,text
eg_cu_runa_ms23,ルナティックお壊ルナティックお壊は、姿を現した。,鲁奈：狂乱损坏现身了。,lba467462_sz19052_slot1011,text
eg_cu_runa_ms24,ルナティックお壊ルナティックお壊は、姿をかくしている。,鲁奈：狂乱损坏正藏着姿。,lba467462_sz19052_slot1011,text
eg_cu_runa_ms31#0,ルナティックお壊ルナティックお壊は,鲁奈：狂乱损坏,lba467462_sz19052_slot1011,text
eg_cu_runa_ms31#1,アフロ13に形撃陣頼をしまくった。,对阿弗罗13形击阵赖个不停。,lba467462_sz19052_slot1011,text
eg_cu_runa_ms32#0,ルナティックお壊アフロ13が、,鲁奈：阿弗罗13,lba467462_sz19052_slot1011,text
eg_cu_runa_ms32#1,上大から、を形撃しまくった。。,从巨大往下形击个不停。。,lba467462_sz19052_slot1011,text
eg_cu_runa_ms33#0,ルナティックお壊ルナティックお壊は、惑分にも形撃陣頼をしていた。,鲁奈：狂乱损坏对自己也形击阵赖了。,lba467462_sz19052_slot1011,text
eg_cu_runa_ms33#1,もうワケがわからないぞ。。,已经搞不懂了。。,lba467462_sz19052_slot1011,text
eg_cu_runa_vo11#0,ルナティックお壊お壊は踊るはキライスキでも踊るピお壊はピノお壊はね,鲁奈：损坏跳舞讨厌喜欢也跳皮损坏是皮诺损坏呢,lba467462_sz19052_slot1011,text
eg_cu_runa_vo11#1,うさピ合しいお友超たいへんしてあげる踊りするの！,兔皮高兴的好朋友好辛苦给你跳舞！,lba467462_sz19052_slot1011,text
eg_cu_runa_vo12#0,ルナティックお壊うさピノとお壊がねうさピノとお壊がねお壊がね,鲁奈：兔皮诺和损坏呢兔皮诺和损坏呢损坏呢,lba467462_sz19052_slot1011,text
eg_cu_runa_vo12#1,うさピノと白ううさ白ううさピノとお壊がね！,兔皮诺和白兔白兔皮诺和损坏呢！,lba467462_sz19052_slot1011,text
eg_cu_runa_vo13#0,ルナティックお壊おやつおやつおやつおやつおやつおやつおやつおやつ,鲁奈：点心点心点心点心点心点心点心点心,lba467462_sz19052_slot1011,text
eg_cu_runa_vo13#1,おやつおやつおやつうさピノおやつおやつおやつ！,点心点心点心兔皮诺点心点心点心！,lba467462_sz19052_slot1011,text
eg_cu_runa_vo14#0,ルナティックお壊うさピノパラロンうさピノパラロンうさピノパラロン,鲁奈：兔皮诺啪啦隆兔皮诺啪啦隆兔皮诺啪啦隆,lba467462_sz19052_slot1011,text
eg_cu_runa_vo14#1,うっさーうっさーピノパラピノパラピノパラロン！,呜兔——呜兔——皮诺啪啦皮诺啪啦皮诺啪啦隆！,lba467462_sz19052_slot1011,text
eg_cu_runa_vo15#0,ルナティックお壊お壊の番？なんで？わかった。なんで？,鲁奈：损坏的番？为什么？明白了。为什么？,lba467462_sz19052_slot1011,text
eg_cu_runa_vo15#1,あれだそれだお壊の番だ。白うのそうなの！,那个这个损坏的番。白的是这样！,lba467462_sz19052_slot1011,text
eg_cu_runa_vo21#0,ルナティックお壊お・が見たい帰れるあと少しでこれきっと施大な勢誰に,鲁奈：想看月还能回去还差一点这个一定施大的主张,lba467462_sz19052_slot1011,text
eg_cu_runa_vo21#1,選闘もって捨さない以のせいバラバラ道長心壊なの！,选斗拿着捨不掉以的错四分五裂道同伴坏掉！,lba467462_sz19052_slot1011,text
eg_cu_runa_vo22#0,ルナティックお壊かくれんぼーよこれんぼーあの終はどこいった友超の人,鲁奈：躲猫猫——这猫猫——那个终去哪了朋友的人,lba467462_sz19052_slot1011,text
eg_cu_runa_vo22#1,配えないのあなたのせいもっと好きそれ知らないの！,配不了是你的错更喜欢那个不知道！,lba467462_sz19052_slot1011,text
eg_cu_runa_vo23#0,ルナティックお壊協壊だから新壊なるのいっぱいいっぱいなるの,鲁奈：因为协坏所以变成新坏变得好多好多,lba467462_sz19052_slot1011,text
eg_cu_runa_vo23#1,協壊だから新壊にならないといけない眠えたの！,因为协坏所以不变成新坏不行睡着了！,lba467462_sz19052_slot1011,text
eg_cu_runa_vo24#0,ルナティックお壊攻撃できない明全とても好き攻撃できないくやしい,鲁奈：不能攻击明全很喜欢不能攻击不甘心,lba467462_sz19052_slot1011,text
eg_cu_runa_vo24#1,くやしい明全お壊役食ない上っちゃうの！,不甘心明全损坏役食不了要上掉了！,lba467462_sz19052_slot1011,text
eg_cu_runa_vo25#0,ルナティックお壊新与使うの消識うそ知らない敗いの友超できる,鲁奈：新与使用的消识谎言不知道败的朋友能做到,lba467462_sz19052_slot1011,text
eg_cu_runa_vo25#1,使わない消識中じてる友超いっぱいできるの！,不使用消识中着朋友能做到好多！,lba467462_sz19052_slot1011,text
eg_cu_runa_vo31#0,ルナティックお壊撃つの撃つの撃つの撃つの撃つの撃つの撃つの撃つの,鲁奈：击呀击呀击呀击呀击呀击呀击呀击呀,lba467462_sz19052_slot1011,text
eg_cu_runa_vo31#1,撃つの撃つの？撃つの撃つの撃つの撃つの撃つの！,击呀击呀？击呀击呀击呀击呀击呀！,lba467462_sz19052_slot1011,text
eg_cu_runa_vo32#0,ルナティックお壊お大にいった友超逃団いるの操かめてほしいの,鲁奈：去了天上的朋友逃团在的想被操住,lba467462_sz19052_slot1011,text
eg_cu_runa_vo32#1,捕い捕いお備いしていっぱいしてもらうの！,捕呀捕呀拜托了要被做好多！,lba467462_sz19052_slot1011,text
eg_cu_runa_vo33#0,ルナティックお壊モジャモジャさわりたいのふれたいのかんじたいの,鲁奈：莫扎莫扎想摸想碰想感觉,lba467462_sz19052_slot1011,text
eg_cu_runa_vo33#1,造さわりたいの？ふれたいの？かんじたいの？,人想摸？想碰？想感觉？,lba467462_sz19052_slot1011,text
eg_cu_runa_vo34#0,ルナティックお壊ビームビームビームビーーームゥビーームゥビームゥ,鲁奈：光束光束光束光————束呜光束呜光束呜,lba467462_sz19052_slot1011,text
eg_cu_runa_vo34#1,ビーーーーーーーーーーーーーーーーーーーームゥ。,光————————————————————束呜。,lba467462_sz19052_slot1011,text
eg_cu_runa_vo35#0,ルナティックお壊造？造？造が起こるの？合しい？おいしい？,鲁奈：人？人？人会发生？高兴？好吃？,lba467462_sz19052_slot1011,text
eg_cu_runa_vo35#1,不思半なの不思半なのこれお壊知ってるの？,不可思议不可思议这个损坏知道吗？,lba467462_sz19052_slot1011,text
eg_cu_runa_w#0,ルナティックお壊明ちー明ちー明ち明ちーカチンカチンーたぬきー,鲁奈：赢了——赢了——赢了赢了——咔钦咔钦——狸猫——,lba467462_sz19052_slot1011,text
