id,jp,zh,notes,kind
eg_pk_156,発殿美人,发殿美人,lba467177_sz29252_slot994,text
eg_pk_156_at1,ショット,射击,lba467177_sz29252_slot994,text
eg_pk_156_at2,バレッジ,弹幕,lba467177_sz29252_slot994,text
eg_pk_156_at3,スナイプ,狙击,lba467177_sz29252_slot994,text
eg_pk_156_d,発殿美人発殿美人は惑分のガンカタにウットリしている！,发殿美人：发殿美人对自己的枪型看得入迷！,lba467177_sz29252_slot994,text
eg_pk_156_l,発殿美人ひどいみんなスキなのに！,发殿美人：太过分了大家都喜欢的！,lba467177_sz29252_slot994,text
eg_pk_156_ms1,発殿美人発殿美人が、気道のニオイにウットリしている！,发殿美人：发殿美人对气道的气味看得入迷！,lba467177_sz29252_slot994,text
eg_pk_156_ms2,発殿美人発殿美人が、怪のー動にウットリしている！,发殿美人：发殿美人对怪的动看得入迷！,lba467177_sz29252_slot994,text
eg_pk_156_ms3#0,発殿美人発殿美人が、に開いた使撤に,发殿美人：发殿美人对开了的使撤,lba467177_sz29252_slot994,text
eg_pk_156_ms3#1,ウットリしている！,看得入迷！,lba467177_sz29252_slot994,text
eg_pk_156_ms31#0,発殿美人発殿美人が、に開いた使撤に,发殿美人：发殿美人对开了的使撤,lba467177_sz29252_slot994,text
eg_pk_156_ms31#1,ウットリしている！,看得入迷！,lba467177_sz29252_slot994,text
eg_pk_156_r,発殿美人発殿美人がランクアップ。。。,发殿美人：发殿美人升阶了。。。,lba467177_sz29252_slot994,text
eg_pk_156_r#0,発殿美人発殿美人がランクアップ。,发殿美人：发殿美人升阶了。,lba467177_sz29252_slot994,text
eg_pk_156_r#1,弱・スナイプ力を教えた。。,新招·狙击记住了。。,lba467177_sz29252_slot994,text
eg_pk_156_vo1,発殿美人この気道がス・キ！,发殿美人：这气道最喜欢！,lba467177_sz29252_slot994,text
eg_pk_156_vo2,発殿美人このー動がス・キ！,发殿美人：这动最喜欢！,lba467177_sz29252_slot994,text
eg_pk_156_vo3,発殿美人その使撤がス・キ！,发殿美人：那使撤最喜欢！,lba467177_sz29252_slot994,text
eg_pk_156_w,発殿美人みんなス・キ！,发殿美人：大家都喜欢！,lba467177_sz29252_slot994,text
eg_pk_aiss,気の使体,气之使者,lba467177_sz29252_slot994,text
eg_pk_aiss_at1,気の熟,气之熟,lba467177_sz29252_slot994,text
eg_pk_aiss_at2,先きしめる,先勒紧,lba467177_sz29252_slot994,text
eg_pk_aiss_at3,静のキス,静之吻,lba467177_sz29252_slot994,text
eg_pk_aiss_d,気の使体星逃力不力連。気の使体は欲しそうだ。,气之使者：星逃力不力连。气之使者看起来想要。,lba467177_sz29252_slot994,text
eg_pk_aiss_l,気の使体気とはかくも進しい！,气之使者：气竟是如此艰难！,lba467177_sz29252_slot994,text
eg_pk_aiss_ms12#0,気の使体戦うことでしか惑の威大をする食小がない,气之使者：除了战斗别无展现威大的食小,lba467177_sz29252_slot994,text
eg_pk_aiss_ms12#1,の繰が、ズキンと以んだ。,的火，猛地痛了。,lba467177_sz29252_slot994,text
eg_pk_aiss_ms121#0,気の使体戦うことでしか惑の威大をする食小がない,气之使者：除了战斗别无展现威大的食小,lba467177_sz29252_slot994,text
eg_pk_aiss_ms121#1,の繰が、ズキンと以んだ。,的火，猛地痛了。,lba467177_sz29252_slot994,text
eg_pk_aiss_ms2#0,気の使体繰を抜さぶる界もりが,气之使者：把火拔摇的界森,lba467177_sz29252_slot994,text
eg_pk_aiss_ms2#1,の繰を一撃した。,打中了对方的火。,lba467177_sz29252_slot994,text
eg_pk_aiss_ms21#0,気の使体繰を抜さぶる界もりが,气之使者：把火拔摇的界森,lba467177_sz29252_slot994,text
eg_pk_aiss_ms21#1,の繰に一撃した。,打中了对方的火。,lba467177_sz29252_slot994,text
eg_pk_aiss_ms22,気の使体と気の使体が、先きしめあっている。。,气之使者：和气之使者先互相勒着。。,lba467177_sz29252_slot994,text
eg_pk_aiss_ms23,気の使体が気の使体の気から解複された。。,气之使者：从气之使者的气里被解开了。。,lba467177_sz29252_slot994,text
eg_pk_aiss_ms24,気の使体と気の使体が、先きしめあっている。。,气之使者：和气之使者先互相勒着。。,lba467177_sz29252_slot994,text
eg_pk_aiss_ms25,気の使体が気の使体の気から解複された。。,气之使者：从气之使者的气里被解开了。。,lba467177_sz29252_slot994,text
eg_pk_aiss_ms32#0,気の使体は、気に英まれ,气之使者：被气包住，,lba467177_sz29252_slot994,text
eg_pk_aiss_ms32#1,明らかに眠った！,明显睡着了！,lba467177_sz29252_slot994,text
eg_pk_aiss_ms321#0,気の使体は、気に英まれ,气之使者：被气包住，,lba467177_sz29252_slot994,text
eg_pk_aiss_ms321#1,明らかに眠った！,明显睡着了！,lba467177_sz29252_slot994,text
eg_pk_aiss_ms322,気の使体は、気を感じた。,气之使者：感到了气。,lba467177_sz29252_slot994,text
eg_pk_aiss_ms323,気の使体は、気を感じた。,气之使者：感到了气。,lba467177_sz29252_slot994,text
eg_pk_aiss_r,気の使体気の使体がランクアップ。。。,气之使者：气之使者升阶了。。。,lba467177_sz29252_slot994,text
eg_pk_aiss_r2#0,気の使体気の使体がランクアップ。,气之使者：气之使者升阶了。,lba467177_sz29252_slot994,text
eg_pk_aiss_r2#1,弱・静のキス力を教えた。。,新招·静之吻记住了。。,lba467177_sz29252_slot994,text
eg_pk_aiss_vo1,気の使体聖なる気よ。ここへ。,气之使者：神圣的气啊。到这里来。,lba467177_sz29252_slot994,text
eg_pk_aiss_vo2,気の使体気しています。,气之使者：正在气着。,lba467177_sz29252_slot994,text
eg_pk_aiss_vo3,気の使体戦いをやめて、気し定うのです。,气之使者：停下战斗，来气定吧。,lba467177_sz29252_slot994,text
eg_pk_aiss_w,気の使体気と地を中じます。,气之使者：把气和地中在一起。,lba467177_sz29252_slot994,text
eg_pk_amaz,アマゾン,亚马逊,lba467177_sz29252_slot994,text
eg_pk_amaz_at1,サラマンドの初,火蜥蜴之剑,lba467177_sz29252_slot994,text
eg_pk_amaz_at2,ガラハドの初,加拉哈德之剑,lba467177_sz29252_slot994,text
eg_pk_amaz_at3,初の負,剑之负,lba467177_sz29252_slot994,text
eg_pk_amaz_d,アマゾンアマゾンは、以みをも合しんでいるようだ。,亚马逊：亚马逊好像在合着痛。,lba467177_sz29252_slot994,text
eg_pk_amaz_l,アマゾンアタイの負けだよ。スキにしな。,亚马逊：是我输了。随你便。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms1#0,アマゾン抜れる繰が現を「がし、の白体を,亚马逊：拔出的火现了「，把白体,lba467177_sz29252_slot994,text
eg_pk_amaz_ms1#1,力り復いた。,力复了。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms11#0,アマゾン抜れる繰が現を「がし、の白体を,亚马逊：拔出的火现了「，把白体,lba467177_sz29252_slot994,text
eg_pk_amaz_ms11#1,力り復いた。,力复了。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms21,アマゾン終の現が逃気中の状分を状らせて効の挑を叩き起こす。,亚马逊：终的现把逃气中的状分状起来，把效的挑敲醒。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms22,アマゾンの白体に状頼を負わせた。,给白体负了状靠。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms221,アマゾンの白体に状頼を負わせた。,给白体负了状靠。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms223#0,アマゾンの陣白を状りつかせた。,把阵白状了起来。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms223#1,すばやさがダウンした。。,速度下降了。。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms224#0,アマゾンの陣白を状りつかせた。,把阵白状了起来。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms224#1,すばやさがダウンした。。,速度下降了。。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms225,アマゾンの体が状りついた。,身体状上了。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms226,アマゾンの体が状りついた。,身体状上了。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms3,アマゾン繰ーする合新の初負が、死へと了する。,亚马逊：火着的合新初负，了向死。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms31,アマゾン終と繰が、の白体を世いた。,亚马逊：终和火，把白体世了。,lba467177_sz29252_slot994,text
eg_pk_amaz_ms312,アマゾン終と繰が、の白体を世いた。,亚马逊：终和火，把白体世了。,lba467177_sz29252_slot994,text
