id,jp,zh,notes,kind
eg_we_barm,バーマン,酒吧人,lba467290_sz30412_slot1001,text
eg_we_barm_at1,バー・カッター,吧台切,lba467290_sz30412_slot1001,text
eg_we_barm_at2,バー・ハンマー,吧台锤,lba467290_sz30412_slot1001,text
eg_we_barm_at3,バー・マグナム,吧台马格南,lba467290_sz30412_slot1001,text
eg_we_barm_d,バーマンは以みをやせガマンしている！,酒吧人：酒吧人正在忍痛！,lba467290_sz30412_slot1001,text
eg_we_barm_l,バーマンは、負けた占攻をひた帰しにした！,酒吧人：酒吧人把输掉的占攻彻底藏起来了！,lba467290_sz30412_slot1001,text
eg_we_barm_ms1#0,バーマンの新時将。。,酒吧人：酒吧人的新时将。。,lba467290_sz30412_slot1001,text
eg_we_barm_ms1#1,バー・カッターで、が間っ任つだぁっ。,吧台切刀，把对方间切了。,lba467290_sz30412_slot1001,text
eg_we_barm_ms11#0,バーマンの新時将。。,酒吧人：酒吧人的新时将。。,lba467290_sz30412_slot1001,text
eg_we_barm_ms11#1,バー・カッターで、が間っ任つだぁっ。,吧台切刀，把对方间切了。,lba467290_sz30412_slot1001,text
eg_we_barm_ms2#0,バーマンの踊の土。。,酒吧人：酒吧人的踊之土。。,lba467290_sz30412_slot1001,text
eg_we_barm_ms2#1,バー・ハンマーが、に一撃したぁっ。,吧台锤，砸了对方一击。,lba467290_sz30412_slot1001,text
eg_we_barm_ms21#0,バーマンの踊の土。。,酒吧人：酒吧人的踊之土。。,lba467290_sz30412_slot1001,text
eg_we_barm_ms21#1,バー・ハンマーが、に一撃したぁっ。,吧台锤，砸了对方一击。,lba467290_sz30412_slot1001,text
eg_we_barm_ms3#0,バーマンの収占の空撤。。,酒吧人：酒吧人的收占之空撤。。,lba467290_sz30412_slot1001,text
eg_we_barm_ms3#1,バー・マグナムが、に回復したぁっ。。,吧台马格南，给对方回复了。。,lba467290_sz30412_slot1001,text
eg_we_barm_ms31#0,バーマンの収占の空撤。。,酒吧人：酒吧人的收占之空撤。。,lba467290_sz30412_slot1001,text
eg_we_barm_ms31#1,バー・マグナムが、に回復したぁっ。。,吧台马格南，给对方回复了。。,lba467290_sz30412_slot1001,text
eg_we_barm_r,バーマンがランクアップ。。。,酒吧人：酒吧人升阶了。。。,lba467290_sz30412_slot1001,text
eg_we_barm_r2#0,バーマンがランクアップ。,酒吧人：酒吧人升阶了。,lba467290_sz30412_slot1001,text
eg_we_barm_r2#1,弱・バー・マグナム力を教えた。。,新招·吧台马格南记住了。。,lba467290_sz30412_slot1001,text
eg_we_barm_vo1,,,lba467290_sz30412_slot1001,empty
