id,jp,zh,notes,kind
gen_no2,テトラ,特托拉,,name
gen_no2#hobby,あんざん,心算,,hobby
gen_no3,オレガノ,奥雷加诺,,name
gen_no3#hobby,トライアスロン,铁人三项,,hobby
gen_no4,バルバロン,巴鲁巴罗恩,,name
gen_no4#hobby,らくのう,酪农,,hobby
gen_no5,ルーソー,鲁索,,name
gen_no5#hobby,ぎょうれつにならぶ,ぎょうれつにならぶ,,hobby
gen_no6,ルドガー,鲁多加,,name
gen_no6#hobby,さんすう,算术,,hobby
gen_no7,クリオス,库里奥斯,,name
gen_no7#hobby,マッサージ,マッサージ,,hobby
gen_no8,クロノス,库罗诺斯,,name
gen_no8#hobby,リストラ,裁员,,hobby
gen_no9,アドニス,阿多尼斯,,name
gen_no9#hobby,ミステリー,推理,,hobby
gen_no10,シュトラスマン,舒托拉斯马恩,,name
gen_no10#hobby,コイントス,抛硬币,,hobby
gen_no11,ヒュアキントス,休阿基恩托斯,,name
gen_no11#hobby,うんどうかい,运动会,,hobby
gen_no12,ギャッフン,加弗恩,,name
gen_no12#hobby,ヨーグルト,酸奶,,hobby
gen_no13,ビスタ,比斯塔,,name
gen_no13#hobby,インラインスケート,轮滑,,hobby
gen_no14,カストル,卡斯托鲁,,name
gen_no14#hobby,テレアポ,テレアポ,,hobby
gen_no15,デウカリオン,德乌卡里奥恩,,name
gen_no15#hobby,ぶきあつめ,收集武器,,hobby
gen_no16,パイオン,帕伊奥恩,,name
gen_no16#hobby,ジャンクひんあさり,ジャンクひんあさり,,hobby
gen_no17,バンディオン,巴恩迪奥恩,,name
gen_no17#hobby,トータルデザイン,トータルデザイン,,hobby
gen_no18,アクアビット,阿库阿比托,,name
gen_no18#hobby,ジュース,ジュース,,hobby
gen_no19,キューブリー,丘布里,,name
gen_no19#hobby,こうすい,こうすい,,hobby
gen_no20,ジン,吉恩,,name
gen_no20#hobby,カート,カート,,hobby
gen_no21,ジャンゴー,贾恩戈,,name
gen_no21#hobby,やきゅう,やきゅう,,hobby
gen_no22,ラナウェイ,拉纳威伊,,name
gen_no22#hobby,けんこう,けんこう,,hobby
gen_no23,チェック,切库,,name
gen_no23#hobby,メディアアート,メディアアート,,hobby
gen_no24,バゲット,巴格托,,name
gen_no24#hobby,すうがく,すうがく,,hobby
gen_no25,オデュッセウス,奥德尤塞乌斯,,name
gen_no25#hobby,かんけり,かんけり,,hobby
gen_no26,アキレス,阿基雷斯,,name
gen_no26#hobby,ぽこぺん,ぽこぺん,,hobby
gen_no27,ライオス,拉伊奥斯,,name
gen_no27#hobby,さいばん,さいばん,,hobby
gen_no28,エンデウミオン,艾恩德乌米奥恩,,name
gen_no28#hobby,ジャーナリズム,ジャーナリズム,,hobby
gen_no29,ケイロン,凯伊罗恩,,name
gen_no29#hobby,やらせ,やらせ,,hobby
gen_no30,カロン,卡罗恩,,name
gen_no30#hobby,ぼったくり,ぼったくり,,hobby
gen_no31,リュカオン,鲁卡奥恩,,name
gen_no31#hobby,レポート,レポート,,hobby
gen_no32,ブラウニー,布拉乌尼,,name
gen_no32#hobby,おつきみ,おつきみ,,hobby
gen_no33,レイヴ,雷伊夫,,name
gen_no33#hobby,けつあつけい,けつあつけい,,hobby
gen_no34,カポネ,卡波涅,,name
gen_no34#hobby,パラパラマンガ,パラパラマンガ,,hobby
gen_no35,ガイア,加伊阿,,name
gen_no35#hobby,ふえなめ,ふえなめ,,hobby
gen_no36,バッカス,巴卡斯,,name
gen_no36#hobby,さんぎょうスパイ,さんぎょうスパイ,,hobby
gen_no37,エピメテウス,艾皮梅特乌斯,,name
gen_no37#hobby,こくち,こくち,,hobby
gen_no38,オイディプス,奥伊迪普斯,,name
gen_no38#hobby,コンビネーション,コンビネーション,,hobby
gen_no39,ノーガード,诺加多,,name
gen_no39#hobby,ケンカ,ケンカ,,hobby
gen_no40,ポコペン,波科佩恩,,name
gen_no40#hobby,エアロビクス,有氧操,,hobby
gen_no41,チェルリー,切鲁里,,name
gen_no41#hobby,メール,メール,,hobby
gen_no42,エレガント,艾雷加恩托,,name
gen_no42#hobby,ちりめんざいく,ちりめんざいく,,hobby
gen_no43,マチュア,马丘阿,,name
gen_no43#hobby,スキー,スキー,,hobby
gen_no44,モモ,莫莫,,name
gen_no44#hobby,てっきゅうなげ,てっきゅうなげ,,hobby
gen_no45,ベンジャミン,贝恩贾米恩,,name
gen_no45#hobby,おわらい,搞笑,,hobby
gen_no46,リリエーン,里里艾恩,,name
gen_no46#hobby,とうげい,とうげい,,hobby
gen_no47,リッシュ,里舒,,name
gen_no47#hobby,ふうすい,ふうすい,,hobby
gen_no48,ルコニイ,鲁科尼伊,,name
gen_no48#hobby,しごと,しごと,,hobby
gen_no49,マーラ,马拉,,name
gen_no49#hobby,ザリガニつり,ザリガニつり,,hobby
gen_no50,ヒーロエイ,希罗艾伊,,name
gen_no50#hobby,アクアテラリウム,アクアテラリウム,,hobby
gen_no51,イオ,伊奥,,name
gen_no51#hobby,ひとなつのこい,ひとなつのこい,,hobby
gen_no52,キリアリス,基里阿里斯,,name
gen_no52#hobby,かくげん,かくげん,,hobby
gen_no53,ニードル,尼多鲁,,name
gen_no53#hobby,なつメロ,なつメロ,,hobby
gen_no54,キッミ,基米,,name
gen_no54#hobby,セーリング,セーリング,,hobby
gen_no55,ネレウス,涅雷乌斯,,name
gen_no55#hobby,アバンチュール,アバンチュール,,hobby
gen_no56,パリス,帕里斯,,name
gen_no56#hobby,はだか,はだか,,hobby
gen_no57,リリス,里里斯,,name
gen_no57#hobby,ゆうわく,ゆうわく,,hobby
gen_no58,ミニュメット,米纽梅托,,name
gen_no58#hobby,ラッピング,ラッピング,,hobby
gen_no59,キャル,凯鲁,,name
gen_no59#hobby,けいば,けいば,,hobby
gen_no60,ケティ,凯蒂,,name
gen_no60#hobby,くるま,くるま,,hobby
gen_no61,ミュール,妙鲁,,name
gen_no61#hobby,おかしづくり,おかしづくり,,hobby
gen_no62,エレクト,艾雷库托,,name
gen_no62#hobby,サッカー,サッカー,,hobby
gen_no63,マリーン,马里恩,,name
gen_no63#hobby,カレー,カレー,,hobby
gen_no64,コール,科鲁,,name
gen_no64#hobby,しんりがく,しんりがく,,hobby
gen_no65,チッフィ,奇菲,,name
gen_no65#hobby,カヤック,カヤック,,hobby
gen_no66,ネイト,涅伊托,,name
gen_no66#hobby,しかくしゅとく,しかくしゅとく,,hobby
gen_no67,アデッサ,阿德萨,,name
gen_no67#hobby,まきわり,まきわり,,hobby
gen_no68,フォーナ,福纳,,name
gen_no68#hobby,じんせいそうだん,じんせいそうだん,,hobby
gen_no69,カミュ,卡妙,,name
gen_no69#hobby,ドライフラワー,ドライフラワー,,hobby
gen_no70,クレオン,库雷奥恩,,name
gen_no70#hobby,スプラッタ,スプラッタ,,hobby
gen_no71,ティア,蒂阿,,name
gen_no71#hobby,ヌードデッサン,ヌードデッサン,,hobby
gen_no72,ペー,佩,,name
gen_no72#hobby,とうけい,とうけい,,hobby
gen_no73,ミズーリ,米兹里,,name
gen_no73#hobby,プロレス,摔角,,hobby
gen_no74,ヘレン,赫雷恩,,name
gen_no74#hobby,デュエル,デュエル,,hobby
gen_no75,ドロス,多罗斯,,name
gen_no75#hobby,マルチプレイ,マルチプレイ,,hobby
gen_no76,サテヤロス,萨特亚罗斯,,name
gen_no76#hobby,やりこみ,やりこみ,,hobby
gen_no77,リリィ,里里伊,,name
gen_no77#hobby,おっきなおともだち,おっきなおともだち,,hobby
gen_no78,アイギストス,阿伊吉斯托斯,,name
gen_no78#hobby,うらない,うらない,,hobby
gen_no79,モイラ,莫伊拉,,name
gen_no79#hobby,ダビング,ダビング,,hobby
gen_no80,カリンガ,卡里恩加,,name
gen_no80#hobby,スケボー,スケボー,,hobby
gen_no81,カシュー,卡舒,,name
gen_no81#hobby,ボクシング,ボクシング,,hobby
gen_no82,グレナデン,古雷纳德恩,,name
gen_no82#hobby,オカルト,オカルト,,hobby
gen_no83,ヘーゼル,赫泽鲁,,name
gen_no83#hobby,すいえい,すいえい,,hobby
gen_no84,ランプータン,拉恩普塔恩,,name
gen_no84#hobby,スコッチ,スコッチ,,hobby
gen_no85,キャロット,凯罗托,,name
gen_no85#hobby,いご,いご,,hobby
gen_no86,ラゴス,拉戈斯,,name
gen_no86#hobby,ブーメラン,ブーメラン,,hobby
gen_no87,マーマレード,马马雷多,,name
gen_no87#hobby,パソコン,パソコン,,hobby
gen_no88,バラクーダ,巴拉库达,,name
gen_no88#hobby,しょうぎ,将棋,,hobby
gen_no89,ギャレオ,加雷奥,,name
gen_no89#hobby,らくがき,らくがき,,hobby
gen_no90,エシャロット,艾夏罗托,,name
gen_no90#hobby,にちようだいく,周日木工,,hobby
gen_no91,トレビス,托雷比斯,,name
gen_no91#hobby,ダイビング,ダイビング,,hobby
gen_no92,カッヘイ,卡赫伊,,name
gen_no92#hobby,ひひょう,ひひょう,,hobby
gen_no93,ホフマン,霍弗马恩,,name
gen_no93#hobby,にもつもち,にもつもち,,hobby
gen_no94,コムラビ,科穆拉比,,name
gen_no94#hobby,あやつりにんぎょう,あやつりにんぎょう,,hobby
gen_no95,ガノ,加诺,,name
gen_no95#hobby,おうごんさがし,おうごんさがし,,hobby
gen_no96,ブリオッシュ,布里奥舒,,name
gen_no96#hobby,がくもんぜんぱん,がくもんぜんぱん,,hobby
gen_no97,ゾーン,佐恩,,name
gen_no97#hobby,たこあげ,たこあげ,,hobby
gen_no98,テルダム,特鲁达穆,,name
gen_no98#hobby,ほけんかにゅう,ほけんかにゅう,,hobby
gen_no99,ガスパチョ,加斯帕乔,,name
gen_no99#hobby,にんぎょう,にんぎょう,,hobby
gen_no100,シェーブル,谢布鲁,,name
gen_no100#hobby,ジョギング,ジョギング,,hobby
gen_no101,セミヨン,塞米约恩,,name
gen_no101#hobby,なつメロ,なつメロ,,hobby
gen_no102,カッパー,卡帕,,name
gen_no102#hobby,ブーメラン,ブーメラン,,hobby
gen_no103,カンダタ,卡恩达塔,,name
gen_no103#hobby,ダダをこねる,ダダをこねる,,hobby
gen_no104,ロレンス,罗雷恩斯,,name
gen_no104#hobby,おわらい,搞笑,,hobby
gen_no105,マラスキーノ,马拉斯基诺,,name
gen_no105#hobby,たまごりょうり,たまごりょうり,,hobby
gen_no106,カペリーニ,卡佩里尼,,name
gen_no106#hobby,プロレス,摔角,,hobby
gen_no107,マッケイ,马凯伊,,name
gen_no107#hobby,コンビニ,コンビニ,,hobby
gen_no108,キャラウェイ,凯拉威伊,,name
gen_no108#hobby,ヘヴィメタル,ヘヴィメタル,,hobby
gen_no109,ショコラ,肖科拉,,name
gen_no109#hobby,いっぱつギャグ,いっぱつギャグ,,hobby
gen_no110,デュオニソス,德尤奥尼索斯,,name
gen_no110#hobby,まじゅつ,まじゅつ,,hobby
gen_no111,デューン,德尤恩,,name
gen_no111#hobby,カードゲーム,カードゲーム,,hobby
gen_no112,ユイートル,尤伊托鲁,,name
gen_no112#hobby,エレキギター,エレキギター,,hobby
gen_no113,ひのたまのぬし,希诺塔马诺努希,,name
gen_no113#hobby,せかいいっしゅう,せかいいっしゅう,,hobby
gen_hinotama,ハバティー,哈巴蒂,,name
gen_hinotama#hobby,ながでんわ,长电话,,hobby
gen_no115,タケムラ,塔凯穆拉,,name
gen_no115#hobby,クラブ,クラブ,,hobby
gen_no116,ギー,吉,,name
gen_no116#hobby,はいく,はいく,,hobby
gen_no117,コウ,科乌,,name
gen_no117#hobby,あいさつ,あいさつ,,hobby
gen_no118,ガルバンゾー,加鲁巴恩佐,,name
gen_no118#hobby,サッカー,サッカー,,hobby
gen_no119,ピーアン,皮阿恩,,name
gen_no119#hobby,さんびか,さんびか,,hobby
gen_no120,テン,特恩,,name
gen_no120#hobby,あおぞら,あおぞら,,hobby
gen_no121,チーマヨターカ,奇马约塔卡,,name
