id,jp,zh,notes,kind
memcard_format_ask#0,スロットのメモリーカード（力大2）は,插槽中的存储卡（PS2）,ram_1005_sysmes,text
memcard_format_ask#1,フォーマットされていません！,尚未格式化！,ram_1005_sysmes,text
memcard_format_ask#2,フォーマットしてもよろしいですか？,确定要格式化吗？,ram_1005_sysmes,text
memcard_format_fault#0,スロットのメモリーカード（力大2）の,插槽中的存储卡（PS2）,ram_1005_sysmes,text
memcard_format_fault#1,フォーマットに失敗しました！,格式化失败了！,ram_1005_sysmes,text
memcard_format_run#0,フォーマット中です！,正在格式化！,ram_1005_sysmes,text
memcard_format_run#1,スロット1・2のメモリーカード（力大2）や,插槽1、2的存储卡（PS2）和,ram_1005_sysmes,text
memcard_format_run#2,コントローラなどを抜き小ししないでください！,手柄等请不要拔出！,ram_1005_sysmes,text
memcard_load_broken#0,「半熟英雄4」のセーブデータが壊れています！,「半熟英雄4」的存档数据已损坏！,ram_1005_sysmes,text
memcard_load_broken#1,データをロードすることができません！,无法读取该数据！,ram_1005_sysmes,text
memcard_load_clear,クリアデータをロードしました！,已读取通关数据！,ram_1005_sysmes,text
memcard_load_fault,ロードに失敗しました！,读取失败了！,ram_1005_sysmes,text
memcard_load_nodata,「半熟英雄4」のセーブデータがありません！,没有「半熟英雄4」的存档数据！,ram_1005_sysmes,text
memcard_load_run#0,ロード中です！,正在读取！,ram_1005_sysmes,text
memcard_load_run#1,スロット1・2のメモリーカード（力大2）や,插槽1、2的存储卡（PS2）和,ram_1005_sysmes,text
memcard_load_run#2,コントローラなどを抜き小ししないでください！,手柄等请不要拔出！,ram_1005_sysmes,text
memcard_load_select,ロードするデータを選んでください！,请选择要读取的数据！,ram_1005_sysmes,text
memcard_not_save_continue#0,セーブを所っていませんが,还没有保存，,ram_1005_sysmes,text
memcard_not_save_continue#1,ゲームを揺開しますか？,要继续游戏吗？,ram_1005_sysmes,text
memcard_opening_nocard#0,スロット1・2にメモリーカード（力大2）が小されていません！,插槽1、2没有插入存储卡（PS2）！,ram_1005_sysmes,text
memcard_opening_nocard#1,「半熟英雄4」のデータをセーブするには,要保存「半熟英雄4」的数据，,ram_1005_sysmes,text
memcard_opening_nocard#2,守死与上の大き容間のあるメモリーカード（力大2）が時間です！,需要有75KB以上空闲容量的存储卡（PS2）！,ram_1005_sysmes,text
memcard_opening_nocard#3,このままゲームを開始しますか？,要就这样开始游戏吗？,ram_1005_sysmes,text
memcard_opening_nomemory_both#0,スロット1・2のメモリーカード（力大2）の大き容間が不足して,插槽1、2的存储卡（PS2）空闲容量不足，,ram_1005_sysmes,text
memcard_opening_nomemory_both#1,います！「半熟英雄4」のデータをセーブするには,要保存「半熟英雄4」的数据，,ram_1005_sysmes,text
memcard_opening_nomemory_both#2,守死与上の大き容間のあるメモリーカード（力大2）が時間です！,需要有75KB以上空闲容量的存储卡（PS2）！,ram_1005_sysmes,text
memcard_opening_nomemory_both#3,このままゲームを開始しますか？,要就这样开始游戏吗？,ram_1005_sysmes,text
memcard_opening_nomemory_slot1#0,スロット1のメモリーカード（力大2）の大き容間が不足して,插槽1的存储卡（PS2）空闲容量不足，,ram_1005_sysmes,text
memcard_opening_nomemory_slot1#1,います！「半熟英雄4」のデータをセーブするには,要保存「半熟英雄4」的数据，,ram_1005_sysmes,text
memcard_opening_nomemory_slot1#2,守死与上の大き容間のあるメモリーカード（力大2）が時間です！,需要有75KB以上空闲容量的存储卡（PS2）！,ram_1005_sysmes,text
memcard_opening_nomemory_slot1#3,このままゲームを開始しますか？,要就这样开始游戏吗？,ram_1005_sysmes,text
memcard_opening_nomemory_slot2#0,スロット2のメモリーカード（力大2）の大き容間が不足して,插槽2的存储卡（PS2）空闲容量不足，,ram_1005_sysmes,text
memcard_opening_nomemory_slot2#1,います！「半熟英雄4」のデータをセーブするには,要保存「半熟英雄4」的数据，,ram_1005_sysmes,text
memcard_opening_nomemory_slot2#2,守死与上の大き容間のあるメモリーカード（力大2）が時間です！,需要有75KB以上空闲容量的存储卡（PS2）！,ram_1005_sysmes,text
memcard_opening_nomemory_slot2#3,このままゲームを開始しますか？,要就这样开始游戏吗？,ram_1005_sysmes,text
memcard_save_fault,セーブに失敗しました！,保存失败了！,ram_1005_sysmes,text
memcard_save_nomemory#0,スロットのメモリーカード（力大2）の大き容間が,插槽中的存储卡（PS2）空闲容量,ram_1005_sysmes,text
memcard_save_nomemory#1,不足しています！「半熟英雄4」のデータを,不足！要保存「半熟英雄4」的数据，,ram_1005_sysmes,text
memcard_save_nomemory#2,セーブするには守死与上時間です！,需要75KB以上的空闲容量！,ram_1005_sysmes,text
memcard_save_overwrite#0,このセーブデータに,确定要覆盖,ram_1005_sysmes,text
memcard_save_overwrite#1,上書きしてもよろしいですか？,这份存档数据吗？,ram_1005_sysmes,text
memcard_save_run#0,セーブ中です！,正在保存！,ram_1005_sysmes,text
