id,jp,zh,notes,kind
sysmes_alphabet#0,知,A,ram_1005_sysmes,alphabet
sysmes_alphabet#1,死,B,ram_1005_sysmes,alphabet
sysmes_alphabet#2,体,C,ram_1005_sysmes,alphabet
sysmes_alphabet#3,複,D,ram_1005_sysmes,alphabet
sysmes_alphabet#4,少,E,ram_1005_sysmes,alphabet
sysmes_alphabet#5,教,F,ram_1005_sysmes,alphabet
sysmes_alphabet#6,早,G,ram_1005_sysmes,alphabet
sysmes_alphabet#7,能,H,ram_1005_sysmes,alphabet
sysmes_alphabet#8,惑,I,ram_1005_sysmes,alphabet
sysmes_alphabet#9,分,J,ram_1005_sysmes,alphabet
sysmes_alphabet#10,守,K,ram_1005_sysmes,alphabet
sysmes_alphabet#11,小,L,ram_1005_sysmes,alphabet
sysmes_alphabet#12,中,M,ram_1005_sysmes,alphabet
sysmes_alphabet#13,,,ram_1005_sysmes,alphabet
sysmes_alphabet#14,1,1,ram_1005_sysmes,alphabet
sysmes_alphabet#15,2,2,ram_1005_sysmes,alphabet
sysmes_alphabet#16,3,3,ram_1005_sysmes,alphabet
sysmes_alphabet#17,N,N,ram_1005_sysmes,alphabet
sysmes_alphabet#18,O,O,ram_1005_sysmes,alphabet
sysmes_alphabet#19,力,P,ram_1005_sysmes,alphabet
sysmes_alphabet#20,激,Q,ram_1005_sysmes,alphabet
sysmes_alphabet#21,使,R,ram_1005_sysmes,alphabet
sysmes_alphabet#22,大,S,ram_1005_sysmes,alphabet
sysmes_alphabet#23,喜,T,ram_1005_sysmes,alphabet
sysmes_alphabet#24,勢,U,ram_1005_sysmes,alphabet
sysmes_alphabet#25,誰,V,ram_1005_sysmes,alphabet
sysmes_alphabet#26,捨,W,ram_1005_sysmes,alphabet
sysmes_alphabet#27,装,X,ram_1005_sysmes,alphabet
sysmes_alphabet#28,備,Y,ram_1005_sysmes,alphabet
sysmes_alphabet#29,威,Z,ram_1005_sysmes,alphabet
sysmes_alphabet#30,,,ram_1005_sysmes,alphabet
sysmes_alphabet#31,4,4,ram_1005_sysmes,alphabet
sysmes_alphabet#32,5,5,ram_1005_sysmes,alphabet
sysmes_alphabet#33,6,6,ram_1005_sysmes,alphabet
sysmes_alphabet#34,以,a,ram_1005_sysmes,alphabet
sysmes_alphabet#35,始,b,ram_1005_sysmes,alphabet
sysmes_alphabet#36,金,c,ram_1005_sysmes,alphabet
sysmes_alphabet#37,強,d,ram_1005_sysmes,alphabet
sysmes_alphabet#38,友,e,ram_1005_sysmes,alphabet
sysmes_alphabet#39,情,f,ram_1005_sysmes,alphabet
sysmes_alphabet#40,気,g,ram_1005_sysmes,alphabet
sysmes_alphabet#41,所,h,ram_1005_sysmes,alphabet
sysmes_alphabet#42,打,i,ram_1005_sysmes,alphabet
sysmes_alphabet#43,,j,ram_1005_sysmes,alphabet
sysmes_alphabet#44,力,k,ram_1005_sysmes,alphabet
sysmes_alphabet#45,今,l,ram_1005_sysmes,alphabet
sysmes_alphabet#46,外,m,ram_1005_sysmes,alphabet
sysmes_alphabet#47,,,ram_1005_sysmes,alphabet
sysmes_alphabet#48,7,7,ram_1005_sysmes,alphabet
sysmes_alphabet#49,8,8,ram_1005_sysmes,alphabet
sysmes_alphabet#50,9,9,ram_1005_sysmes,alphabet
sysmes_alphabet#51,気,n,ram_1005_sysmes,alphabet
sysmes_alphabet#52,潜,o,ram_1005_sysmes,alphabet
sysmes_alphabet#53,様,p,ram_1005_sysmes,alphabet
sysmes_alphabet#54,解,q,ram_1005_sysmes,alphabet
sysmes_alphabet#55,形,r,ram_1005_sysmes,alphabet
sysmes_alphabet#56,敗,s,ram_1005_sysmes,alphabet
sysmes_alphabet#57,新,t,ram_1005_sysmes,alphabet
sysmes_alphabet#58,眠,u,ram_1005_sysmes,alphabet
sysmes_alphabet#59,時,v,ram_1005_sysmes,alphabet
sysmes_alphabet#60,間,w,ram_1005_sysmes,alphabet
sysmes_alphabet#61,赤,x,ram_1005_sysmes,alphabet
sysmes_alphabet#62,道,y,ram_1005_sysmes,alphabet
sysmes_alphabet#63,体,z,ram_1005_sysmes,alphabet
sysmes_alphabet#64,,,ram_1005_sysmes,alphabet
sysmes_alphabet#65,0,0,ram_1005_sysmes,alphabet
sysmes_alphabet#66,楽,ー,ram_1005_sysmes,alphabet
sysmes_alphabet#67,ー,ー,ram_1005_sysmes,alphabet
sysmes_alphabet#68,。,。,ram_1005_sysmes,alphabet
sysmes_alphabet#69,？,？,ram_1005_sysmes,alphabet
sysmes_alphabet#70,@,@,ram_1005_sysmes,alphabet
sysmes_alphabet#71,白,白,ram_1005_sysmes,alphabet
sysmes_alphabet#72,戦,戦,ram_1005_sysmes,alphabet
sysmes_alphabet#73,持,持,ram_1005_sysmes,alphabet
sysmes_alphabet#74,見,見,ram_1005_sysmes,alphabet
sysmes_alphabet#75,了,了,ram_1005_sysmes,alphabet
sysmes_alphabet#76,（,（,ram_1005_sysmes,alphabet
sysmes_alphabet#77,）,）,ram_1005_sysmes,alphabet
sysmes_alphabet#78,数,数,ram_1005_sysmes,alphabet
sysmes_alphabet#79,／,／,ram_1005_sysmes,alphabet
sysmes_alphabet#80,近,近,ram_1005_sysmes,alphabet
sysmes_alphabet#81,,,ram_1005_sysmes,alphabet
sysmes_alphabet#82,姿,姿,ram_1005_sysmes,alphabet
sysmes_alphabet#83,変,変,ram_1005_sysmes,alphabet
sysmes_alphabet#84,一,一,ram_1005_sysmes,alphabet
sysmes_alphabet#85,【,【,ram_1005_sysmes,alphabet
sysmes_alphabet#86,】,】,ram_1005_sysmes,alphabet
sysmes_alphabet#87,,,ram_1005_sysmes,alphabet
sysmes_alphabet#88,,,ram_1005_sysmes,alphabet
sysmes_alphabet#89,喚,喚,ram_1005_sysmes,alphabet
sysmes_alphabet#90,修,修,ram_1005_sysmes,alphabet
sysmes_alphabet#91,選,選,ram_1005_sysmes,alphabet
sysmes_alphabet#92,進,進,ram_1005_sysmes,alphabet
sysmes_alphabet#93,報,報,ram_1005_sysmes,alphabet
sysmes_alphabet#94,末,末,ram_1005_sysmes,alphabet
sysmes_alphabet#95,,,ram_1005_sysmes,alphabet
sysmes_alphabet#96,・,·,ram_1005_sysmes,alphabet
sysmes_alphabet#97,場,場,ram_1005_sysmes,alphabet
sysmes_alphabet#98,,,ram_1005_sysmes,alphabet
sysmes_alphabet#99,編,編,ram_1005_sysmes,alphabet
sysmes_alphabet#100,測,測,ram_1005_sysmes,alphabet
sysmes_alphabet#101,施,施,ram_1005_sysmes,alphabet
sysmes_alphabet#102,繰,繰,ram_1005_sysmes,alphabet
sysmes_alphabet#103,部,部,ram_1005_sysmes,alphabet
sysmes_alphabet#104,隊,隊,ram_1005_sysmes,alphabet
sysmes_alphabet#105,長,長,ram_1005_sysmes,alphabet
sysmes_alphabet#106,心,心,ram_1005_sysmes,alphabet
sysmes_alphabet#107,配,配,ram_1005_sysmes,alphabet
sysmes_alphabet#108,集,集,ram_1005_sysmes,alphabet
sysmes_alphabet#109,団,団,ram_1005_sysmes,alphabet
sysmes_alphabet#110,明,明,ram_1005_sysmes,alphabet
sysmes_alphabet#111,攻,攻,ram_1005_sysmes,alphabet
sysmes_alphabet#112,番,番,ram_1005_sysmes,alphabet
sysmes_alphabet#113,,,ram_1005_sysmes,alphabet
sysmes_alphabet#114,,,ram_1005_sysmes,alphabet
sysmes_alphabet#115,,,ram_1005_sysmes,alphabet
sysmes_alphabet#116,,,ram_1005_sysmes,alphabet
sysmes_alphabet#117,,,ram_1005_sysmes,alphabet
sysmes_alphabet#118,,,ram_1005_sysmes,alphabet
