char,hex,count,id,snippet
丛,U+4E1B,1,menu_dic_316#6,兴趣特技：天丛云
串,U+4E32,1,menu_dic_eg_le_koro#0,来自浪漫沙加的客串出演！小小的亲！
乒,U+4E52,1,eg_we_drpp_vo3,龙宝宝：乒呀啊啊——！
亦,U+4EA6,1,ev_gho_prepre06#0,梅尔克里：虽不中亦不远哪！
仙,U+4ED9,1,menu_dic_242#4,仙人掌！
仲,U+4EF2,1,eg_le_ngen_vo3,人类：这家伙仲好一郎。。。
伪,U+4F2A,1,d_egg_ev04_03#1,伪装成对王的爱！
伶,U+4F36,1,menu_dic_eg_pk_prim#0,占将着首席女伶、日以努力的蛋怪！
侠,U+4FA0,1,eg_du_tmse_w1#1,全装看不见侠。
侥,U+4FA5,1,ev_gho_int_c07#1,侥幸4呢！
侧,U+4FA7,1,eg_ms_omed_d,恭喜鸟：饼皮侧面裂了。
俱,U+4FF1,1,ev_colosseum63b#1,先生，两败俱伤——。
倦,U+5026,1,eg_du_syam_d,沙米尔星人：手不知疲倦！
债,U+503A,1,d_tue_0001#0,卡姆拉纳特：必须把欠下的债还清！
偎,U+504E,1,ev_march11#1,的狭小船舱里两人依偎！
兜,U+515C,1,ev_fri_st32#1,把最终幻想X-3里瓦卡的兜裆布
册,U+518C,1,menu_dic_347#6,兴趣特技：编成手册
冢,U+51A2,1,eg_du_frkn_debug#2,平冢语音
凹,U+51F9,1,eg_le_levi_d,亚冲浪手：大力的板上有了凹陷。。
刑,U+5211,1,eg_ms_eggb_vo1#1,现在就在此处处刑啾。
刘,U+5218,1,menu_dic_eg_cv_atom#2,服装、齐刘海和巨大的蝴蝶结，是状道
剂,U+5242,1,ev_solo_egg15#2,因为在减肥，氨基酸补充剂也要呢呀
剔,U+5254,1,ev_gen_no540#3,秀基：简单说，为了剔除游戏里的 bug
剖,U+5256,1,eg_bo_fuyu_vo3_3#0,：特辑的【烂恋心理彻底解剖】呀
勤,U+52E4,1,menu_dic_51#7,后勤部队不行吗？
勺,U+52FA,1,eg_du_ramu_at2,持讨的勺
勿,U+52FF,1,ev_ear_st50#2,勿抵抗。全员，向军人战斗配
卓,U+5353,1,d_egg_ev05_03#1,正如拥有卓越知性之人
厂,U+5382,1,ev_march24#0,·伊努：哈？这种没听过的厂家的
厘,U+5398,1,ev_solo_atashi36#2,巴厘岛游1500波奇利
厢,U+53A2,1,ev_june3,莉·伊努：这种地方还有包厢？
