id,jp,zh,notes,kind
sysmes_dic_index_keyword#0,あ,あ,ram_1005_sysmes,keep
sysmes_dic_index_keyword#1,か,か,ram_1005_sysmes,keep
sysmes_dic_index_keyword#2,さ,さ,ram_1005_sysmes,keep
sysmes_dic_index_keyword#3,た,た,ram_1005_sysmes,keep
sysmes_dic_index_keyword#4,な,な,ram_1005_sysmes,keep
sysmes_dic_index_keyword#5,は,は,ram_1005_sysmes,keep
sysmes_dic_index_keyword#6,ま,ま,ram_1005_sysmes,keep
sysmes_dic_index_keyword#7,や,や,ram_1005_sysmes,keep
sysmes_dic_index_keyword#8,ら,ら,ram_1005_sysmes,keep
sysmes_dic_index_keyword#9,わ,わ,ram_1005_sysmes,keep
sysmes_dic_index_keyword#10,い,い,ram_1005_sysmes,keep
sysmes_dic_index_keyword#11,う,う,ram_1005_sysmes,keep
sysmes_dic_index_keyword#12,え,え,ram_1005_sysmes,keep
sysmes_dic_index_keyword#13,お,お,ram_1005_sysmes,keep
sysmes_dic_index_keyword#14,き,き,ram_1005_sysmes,keep
sysmes_dic_index_keyword#15,く,く,ram_1005_sysmes,keep
sysmes_dic_index_keyword#16,け,け,ram_1005_sysmes,keep
sysmes_dic_index_keyword#17,こ,こ,ram_1005_sysmes,keep
sysmes_dic_index_keyword#18,し,し,ram_1005_sysmes,keep
sysmes_dic_index_keyword#19,す,す,ram_1005_sysmes,keep
sysmes_dic_index_keyword#20,せ,せ,ram_1005_sysmes,keep
sysmes_dic_index_keyword#21,そ,そ,ram_1005_sysmes,keep
sysmes_dic_index_keyword#22,ち,ち,ram_1005_sysmes,keep
sysmes_dic_index_keyword#23,つ,つ,ram_1005_sysmes,keep
sysmes_dic_index_keyword#24,て,て,ram_1005_sysmes,keep
sysmes_dic_index_keyword#25,と,と,ram_1005_sysmes,keep
sysmes_dic_index_keyword#26,に,に,ram_1005_sysmes,keep
sysmes_dic_index_keyword#27,ぬ,ぬ,ram_1005_sysmes,keep
sysmes_dic_index_keyword#28,ね,ね,ram_1005_sysmes,keep
sysmes_dic_index_keyword#29,の,の,ram_1005_sysmes,keep
